,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore
2022-06-28 03:00:00,28.00,103.00,0.00,0.00,0.00,-969.50,3259.00,355.00,22.00,0.00,16.00,100.00,1584.00
2022-06-28 04:00:00,28.00,256.50,0.00,0.00,0.00,680.00,3162.00,724.00,22.00,0.00,29.00,100.00,905.00
2022-06-28 05:00:00,28.00,461.75,0.00,0.00,0.00,2276.75,3169.75,974.25,22.00,0.00,71.00,100.00,741.00
2022-06-28 06:00:00,28.00,462.50,0.00,0.00,0.00,2434.50,3213.50,1206.25,22.00,0.00,139.00,100.00,584.00
2022-06-28 07:00:00,28.00,474.75,0.00,0.00,0.00,1153.25,3360.00,917.75,22.00,0.00,218.00,100.00,1016.00
2022-06-28 08:00:00,28.00,484.50,0.00,0.00,0.00,181.25,3439.25,991.50,22.00,0.00,296.00,100.00,766.00
2022-06-28 09:00:00,32.00,475.25,0.00,0.00,0.00,672.00,3307.25,1026.50,22.00,0.00,353.00,100.00,537.00
2022-06-28 10:00:00,28.00,456.00,0.00,0.00,0.00,1275.25,3126.00,1099.50,22.00,0.00,383.00,100.00,339.00
2022-06-28 11:00:00,28.00,445.75,0.00,0.00,0.00,1417.75,3046.75,1098.25,22.00,0.00,385.00,100.00,241.00
2022-06-28 12:00:00,28.00,438.00,0.00,0.00,0.00,1680.75,3033.50,1094.25,22.00,0.00,362.00,100.00,153.00
2022-06-28 13:00:00,28.00,427.00,0.00,0.00,0.00,1945.50,2956.25,1022.00,22.00,0.00,317.00,100.00,61.00
2022-06-28 14:00:00,28.00,434.50,0.00,0.00,0.00,1983.25,2932.00,1086.25,22.00,0.00,253.00,100.00,36.00
2022-06-28 15:00:00,28.00,444.25,0.00,0.00,0.00,1965.00,2979.25,1144.00,22.00,0.00,169.00,100.00,59.00
2022-06-28 16:00:00,28.00,447.75,0.00,0.00,0.00,2375.75,3163.50,1141.50,22.00,0.00,92.00,100.00,50.00
2022-06-28 17:00:00,28.00,455.75,0.00,0.00,0.00,2402.75,3280.75,1137.75,22.00,0.00,43.00,100.00,35.00
2022-06-28 18:00:00,28.00,474.00,0.00,0.00,0.00,2244.75,3387.25,1151.75,22.00,0.00,18.00,100.00,149.00
2022-06-28 19:00:00,28.00,593.75,0.00,0.00,0.00,1967.00,3433.00,1050.25,22.00,0.00,0.00,100.00,381.00
2022-06-28 20:00:00,28.00,668.00,0.00,0.00,0.00,1888.25,3382.25,692.75,22.00,0.00,0.00,100.00,388.00
