,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2022-06-28 04:00:00,300.00,2550.00,0.00,-151.00,0.00,3494.00,494.00,171.00,277.00,228.00,109.00
2022-06-28 05:00:00,297.00,2492.00,0.00,682.00,0.00,3494.00,615.00,500.00,276.00,281.00,72.00
2022-06-28 06:00:00,299.00,2566.00,0.00,818.00,0.00,3489.00,604.00,1314.00,274.00,243.00,41.00
2022-06-28 07:00:00,295.00,2372.00,0.00,109.00,0.00,3485.00,650.00,2641.00,268.00,168.00,26.00
2022-06-28 08:00:00,295.00,2297.00,14.00,67.00,0.00,3489.00,664.00,3450.00,267.00,116.00,42.00
2022-06-28 09:00:00,293.00,2233.00,0.00,-336.00,0.00,3486.00,550.00,3995.00,261.00,91.00,54.00
2022-06-28 10:00:00,288.00,2353.00,0.00,-931.00,0.00,3478.00,537.00,4270.00,260.00,41.00,57.00
2022-06-28 11:00:00,290.00,2259.00,0.00,-888.00,0.00,3472.00,565.00,4125.00,249.00,7.00,72.00
2022-06-28 12:00:00,285.00,2305.00,0.00,-747.00,0.00,3469.00,647.00,3788.00,252.00,1.00,75.00
2022-06-28 13:00:00,289.00,2360.00,0.00,-341.00,0.00,3469.00,564.00,3513.00,262.00,1.00,66.00
2022-06-28 14:00:00,290.00,2611.00,0.00,-14.00,0.00,3469.00,547.00,3062.00,267.00,5.00,49.00
2022-06-28 15:00:00,295.00,3020.00,0.00,79.00,0.00,3466.00,610.00,2433.00,266.00,4.00,37.00
2022-06-28 16:00:00,297.00,3165.00,0.00,473.00,0.00,3464.00,665.00,1710.00,256.00,21.00,49.00
2022-06-28 17:00:00,295.00,3262.00,0.00,922.00,0.00,3461.00,667.00,947.00,266.00,15.00,49.00
2022-06-28 18:00:00,303.00,3337.00,0.00,1007.00,0.00,3460.00,682.00,355.00,267.00,4.00,45.00
