,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2022-06-28 04:00:00,283.00,3731.00,24.00,1089.00,276.00,6.00,0.00,56.00,139.00,3412.00,0.00,254.00,73.00,19.00,88.00
2022-06-28 05:00:00,283.00,3706.00,24.00,1088.00,266.00,3.00,0.00,54.00,208.00,3415.00,0.00,253.00,222.00,19.00,91.00
2022-06-28 06:00:00,283.00,3626.00,24.00,1099.00,271.00,4.00,45.00,54.00,258.00,3412.00,0.00,251.00,429.00,19.00,64.00
2022-06-28 07:00:00,280.00,3631.00,24.00,1070.00,275.00,3.00,1.00,58.00,168.00,3412.00,0.00,249.00,602.00,18.00,47.00
2022-06-28 08:00:00,279.00,3623.00,24.00,992.00,274.00,4.00,0.00,68.00,25.00,3413.00,0.00,247.00,771.00,18.00,36.00
2022-06-28 09:00:00,280.00,3639.00,24.00,914.00,276.00,2.00,0.00,71.00,23.00,3409.00,0.00,247.00,949.00,18.00,22.00
2022-06-28 10:00:00,280.00,3570.00,24.00,925.00,276.00,5.00,-48.00,71.00,23.00,3407.00,0.00,251.00,1042.00,19.00,18.00
2022-06-28 11:00:00,280.00,3604.00,24.00,956.00,272.00,4.00,-47.00,70.00,23.00,3404.00,0.00,251.00,1133.00,19.00,14.00
2022-06-28 12:00:00,279.00,3589.00,24.00,957.00,272.00,2.00,0.00,66.00,23.00,3401.00,0.00,253.00,1153.00,19.00,11.00
2022-06-28 13:00:00,278.00,3663.00,24.00,947.00,273.00,2.00,0.00,66.00,27.00,3400.00,0.00,253.00,1055.00,19.00,14.00
2022-06-28 14:00:00,278.00,3565.00,24.00,885.00,252.00,2.00,0.00,54.00,253.00,3400.00,0.00,255.00,867.00,19.00,15.00
2022-06-28 15:00:00,278.00,3673.00,24.00,951.00,265.00,2.00,127.00,53.00,288.00,3394.00,0.00,259.00,622.00,19.00,17.00
2022-06-28 16:00:00,278.00,3720.00,24.00,1031.00,275.00,5.00,189.00,55.00,250.00,3392.00,0.00,262.00,303.00,19.00,25.00
2022-06-28 17:00:00,279.00,3715.00,24.00,1048.00,274.00,2.00,69.00,58.00,350.00,3392.00,0.00,265.00,111.00,19.00,37.00
2022-06-28 18:00:00,279.00,3720.00,24.00,1068.00,268.00,2.00,302.00,64.00,284.00,3392.00,0.00,264.00,39.00,19.00,37.00
2022-06-28 19:00:00,277.00,3721.00,24.00,1064.00,264.00,4.00,395.00,63.00,260.00,3391.00,0.00,247.00,12.00,19.00,56.00
2022-06-28 20:00:00,276.00,3692.00,24.00,1056.00,260.00,3.00,217.00,64.00,250.00,3398.00,0.00,240.00,2.00,18.00,57.00
2022-06-28 21:00:00,277.00,3710.00,24.00,1075.00,261.00,6.00,126.00,73.00,76.00,3413.00,0.00,242.00,0.00,19.00,45.00
