,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2022-06-28 03:00:00,4078.00,13372.50,8467.50,7334.50,8.00,20.00,-1434.00,1603.50,236.50,3989.50,261.00,89.00,414.50,455.50,930.50,4952.50
2022-06-28 04:00:00,4086.00,13485.00,9285.75,7466.00,8.00,20.00,-1158.25,1601.00,180.50,3999.00,262.00,89.00,2045.25,467.00,982.25,4930.50
2022-06-28 05:00:00,4096.75,13346.50,9605.00,7438.75,8.00,20.00,208.25,1615.25,218.75,4002.50,261.75,89.00,6215.75,468.75,1152.75,4354.00
2022-06-28 06:00:00,4106.00,13358.50,9457.00,7512.00,8.00,20.00,1387.00,1624.00,221.25,4002.25,262.00,89.00,12544.75,482.50,904.75,3647.00
2022-06-28 07:00:00,4109.50,13550.75,8359.25,7315.50,8.00,20.00,-437.25,1635.00,152.00,3994.50,262.00,89.00,19652.00,462.25,903.75,2918.50
2022-06-28 08:00:00,4138.00,13412.00,7507.50,6783.50,8.00,20.00,-1479.25,1620.50,146.75,3990.00,263.00,89.25,25449.50,482.25,993.25,2481.50
2022-06-28 09:00:00,4168.50,13203.50,6974.50,6578.25,8.00,20.00,-2480.75,1602.75,148.75,3987.75,262.00,89.00,28963.25,482.00,909.25,2021.25
2022-06-28 10:00:00,4173.25,13139.25,6033.25,6836.25,8.00,20.00,-4667.00,1629.75,90.00,3986.75,261.25,89.00,30180.50,490.25,666.00,1781.75
2022-06-28 11:00:00,4171.75,12843.75,5832.75,6885.25,8.00,20.00,-4682.25,1627.75,36.25,3943.75,261.00,89.00,30069.75,487.25,507.75,1623.00
2022-06-28 12:00:00,4175.75,13156.25,6218.00,6887.75,8.00,20.00,-3066.25,1627.75,63.50,3903.00,261.00,89.00,28667.00,481.00,358.50,1383.00
2022-06-28 13:00:00,4172.25,13317.50,7360.75,7338.00,8.00,20.00,-1174.75,1608.00,58.50,3980.25,261.00,89.00,25891.25,550.25,237.50,1236.00
2022-06-28 14:00:00,4169.25,13564.25,8011.50,7216.25,8.00,20.00,-561.00,1607.75,89.75,3978.25,261.00,89.00,22040.00,576.75,177.50,1056.50
2022-06-28 15:00:00,4172.25,13868.25,9764.25,7113.00,8.00,20.00,1730.00,1613.75,259.50,3976.50,261.00,89.00,16083.75,576.50,137.75,1129.50
