,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2022-06-28 04:00:00,197.00,105.00,299.00,19.00,102.00,131.00,934.00,469.00
2022-06-28 05:00:00,223.00,131.00,343.00,20.00,262.00,132.00,911.00,345.00
2022-06-28 06:00:00,248.00,156.00,414.00,27.00,581.00,126.00,697.00,292.00
2022-06-28 07:00:00,236.00,155.00,376.00,27.00,867.00,122.00,466.00,434.00
2022-06-28 08:00:00,236.00,141.00,447.00,28.00,1096.00,122.00,334.00,480.00
2022-06-28 09:00:00,264.00,151.00,426.00,32.00,1275.00,125.00,243.00,487.00
2022-06-28 10:00:00,268.00,134.00,482.00,30.00,1323.00,122.00,146.00,446.00
2022-06-28 11:00:00,273.00,128.00,455.00,28.00,1279.00,129.00,68.00,395.00
2022-06-28 12:00:00,274.00,140.00,432.00,32.00,1311.00,139.00,39.00,295.00
2022-06-28 13:00:00,279.00,133.00,401.00,29.00,1209.00,137.00,30.00,249.00
2022-06-28 14:00:00,297.00,151.00,355.00,32.00,1168.00,142.00,27.00,223.00
2022-06-28 15:00:00,307.00,169.00,442.00,30.00,945.00,141.00,21.00,165.00
2022-06-28 16:00:00,312.00,177.00,426.00,28.00,673.00,141.00,26.00,118.00
2022-06-28 17:00:00,319.00,164.00,450.00,25.00,346.00,139.00,18.00,85.00
2022-06-28 18:00:00,316.00,154.00,382.00,22.00,121.00,137.00,5.00,62.00
2022-06-28 19:00:00,284.00,122.00,334.00,19.00,31.00,137.00,18.00,47.00
2022-06-28 20:00:00,276.00,112.00,344.00,18.00,2.00,136.00,15.00,39.00
2022-06-28 21:00:00,303.00,103.00,319.00,17.00,1.00,136.00,13.00,38.00
2022-06-28 22:00:00,311.00,97.00,291.00,17.00,0.00,136.00,15.00,36.00
2022-06-28 23:00:00,266.00,99.00,272.00,18.00,0.00,137.00,28.00,42.00
2022-06-29 00:00:00,264.00,98.00,316.00,18.00,0.00,136.00,36.00,70.00
