,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Onshore
2022-06-28 04:00:00,288.00,45.00,2.00,575.00,0.00,3.00,0.00,3.00,134.00,17.00,21.00
2022-06-28 05:00:00,306.00,45.00,2.00,611.00,0.00,3.00,0.00,3.00,175.00,17.00,20.00
2022-06-28 06:00:00,316.00,46.00,2.00,620.00,0.00,2.00,0.00,3.00,243.00,17.00,24.00
2022-06-28 07:00:00,318.00,44.00,2.00,626.00,0.00,2.00,0.00,3.00,243.00,17.00,29.00
2022-06-28 08:00:00,317.00,45.00,2.00,628.00,0.00,2.00,0.00,3.00,247.00,16.00,29.00
2022-06-28 09:00:00,312.00,46.00,2.00,623.00,0.00,2.00,0.00,3.00,244.00,17.00,30.00
2022-06-28 10:00:00,312.00,44.00,2.00,620.00,0.00,2.00,0.00,3.00,255.00,17.00,31.00
2022-06-28 11:00:00,305.00,45.00,2.00,617.00,0.00,2.00,0.00,3.00,277.00,17.00,37.00
2022-06-28 12:00:00,306.00,46.00,2.00,615.00,0.00,2.00,0.00,3.00,308.00,17.00,34.00
2022-06-28 13:00:00,241.00,45.00,2.00,508.00,0.00,2.00,0.00,3.00,242.00,17.00,33.00
2022-06-28 14:00:00,285.00,45.00,2.00,577.00,0.00,2.00,0.00,3.00,194.00,17.00,26.00
2022-06-28 15:00:00,306.00,46.00,2.00,613.00,0.00,2.00,0.00,3.00,146.00,17.00,20.00
2022-06-28 16:00:00,313.00,45.00,2.00,617.00,0.00,2.00,0.00,3.00,87.00,17.00,13.00
2022-06-28 17:00:00,303.00,45.00,3.00,601.00,0.00,2.00,0.00,3.00,56.00,16.00,16.00
2022-06-28 18:00:00,299.00,43.00,3.00,598.00,0.00,2.00,0.00,3.00,15.00,12.00,23.00
2022-06-28 19:00:00,298.00,44.00,3.00,556.00,0.00,2.00,0.00,3.00,0.00,15.00,31.00
2022-06-28 20:00:00,272.00,44.00,3.00,506.00,0.00,2.00,0.00,3.00,0.00,15.00,41.00
2022-06-28 21:00:00,214.00,44.00,3.00,401.00,0.00,2.00,0.00,3.00,0.00,15.00,44.00
2022-06-28 22:00:00,166.00,43.00,2.00,328.00,0.00,2.00,0.00,3.00,0.00,15.00,47.00
2022-06-28 23:00:00,161.00,43.00,2.00,327.00,0.00,2.00,0.00,3.00,0.00,15.00,40.00
2022-06-29 00:00:00,167.00,43.00,2.00,328.00,0.00,2.00,0.00,3.00,0.00,14.00,42.00
2022-06-29 01:00:00,171.00,43.00,2.00,328.00,0.00,2.00,0.00,3.00,0.00,14.00,37.00
2022-06-29 02:00:00,174.00,43.00,0.00,332.00,0.00,2.00,0.00,3.00,18.00,15.00,34.00
2022-06-29 03:00:00,220.00,43.00,0.00,415.00,0.00,2.00,0.00,3.00,78.00,14.00,33.00
2022-06-29 04:00:00,308.00,43.00,3.00,608.00,0.00,2.00,0.00,3.00,113.00,11.00,32.00
2022-06-29 05:00:00,310.00,43.00,6.00,614.00,0.00,2.00,0.00,3.00,147.00,10.00,20.00
2022-06-29 06:00:00,309.00,43.00,6.00,613.00,0.00,2.00,0.00,3.00,233.00,10.00,21.00
2022-06-29 07:00:00,313.00,39.00,6.00,617.00,0.00,2.00,0.00,3.00,271.00,10.00,25.00
2022-06-29 08:00:00,312.00,41.00,5.00,616.00,0.00,2.00,0.00,3.00,279.00,10.00,24.00
2022-06-29 09:00:00,314.00,45.00,3.00,610.00,0.00,2.00,0.00,3.00,328.00,11.00,35.00
2022-06-29 10:00:00,321.00,45.00,2.00,610.00,0.00,2.00,0.00,3.00,330.00,11.00,66.00
2022-06-29 11:00:00,315.00,45.00,2.00,600.00,0.00,2.00,0.00,3.00,286.00,11.00,51.00
2022-06-29 12:00:00,309.00,45.00,2.00,591.00,0.00,2.00,0.00,3.00,281.00,10.00,34.00
2022-06-29 13:00:00,315.00,45.00,2.00,600.00,0.00,2.00,0.00,3.00,266.00,11.00,37.00
2022-06-29 14:00:00,317.00,44.00,2.00,602.00,0.00,2.00,0.00,3.00,211.00,11.00,33.00
2022-06-29 15:00:00,316.00,44.00,3.00,603.00,0.00,2.00,0.00,3.00,179.00,11.00,20.00
2022-06-29 16:00:00,317.00,44.00,2.00,605.00,0.00,2.00,0.00,3.00,108.00,10.00,11.00
2022-06-29 17:00:00,317.00,43.00,2.00,605.00,0.00,2.00,0.00,3.00,67.00,11.00,9.00
2022-06-29 18:00:00,313.00,44.00,3.00,599.00,0.00,2.00,0.00,3.00,27.00,10.00,14.00
2022-06-29 19:00:00,317.00,41.00,4.00,606.00,0.00,2.00,0.00,3.00,0.00,10.00,16.00
2022-06-29 20:00:00,317.00,41.00,2.00,608.00,0.00,2.00,0.00,3.00,0.00,10.00,16.00
2022-06-29 21:00:00,309.00,41.00,2.00,592.00,0.00,2.00,0.00,3.00,0.00,10.00,23.00
2022-06-29 22:00:00,215.00,41.00,2.00,419.00,0.00,2.00,0.00,3.00,0.00,10.00,25.00
2022-06-29 23:00:00,168.00,42.00,2.00,323.00,0.00,2.00,0.00,3.00,0.00,10.00,18.00
2022-06-30 00:00:00,178.00,41.00,2.00,340.00,0.00,3.00,0.00,3.00,0.00,10.00,15.00
2022-06-30 01:00:00,184.00,41.00,2.00,356.00,0.00,3.00,0.00,3.00,0.00,10.00,15.00
2022-06-30 02:00:00,191.00,41.00,2.00,365.00,0.00,3.00,0.00,3.00,26.00,10.00,15.00
2022-06-30 03:00:00,283.00,41.00,3.00,550.00,0.00,3.00,0.00,3.00,81.00,10.00,13.00
2022-06-30 04:00:00,308.00,41.00,3.00,595.00,0.00,3.00,0.00,3.00,135.00,9.00,17.00
2022-06-30 05:00:00,310.00,40.00,5.00,599.00,0.00,3.00,0.00,3.00,169.00,9.00,24.00
2022-06-30 06:00:00,311.00,41.00,5.00,602.00,0.00,3.00,0.00,3.00,250.00,9.00,31.00
2022-06-30 07:00:00,309.00,41.00,5.00,598.00,0.00,3.00,0.00,3.00,290.00,9.00,39.00
2022-06-30 08:00:00,314.00,40.00,3.00,605.00,0.00,2.00,0.00,3.00,267.00,9.00,37.00
2022-06-30 09:00:00,315.00,40.00,3.00,606.00,0.00,2.00,0.00,3.00,337.00,9.00,34.00
2022-06-30 10:00:00,315.00,42.00,3.00,605.00,0.00,2.00,0.00,3.00,314.00,9.00,42.00
2022-06-30 11:00:00,317.00,40.00,3.00,609.00,0.00,2.00,0.00,3.00,244.00,8.00,47.00
2022-06-30 12:00:00,315.00,41.00,3.00,605.00,0.00,2.00,0.00,3.00,268.00,8.00,50.00
2022-06-30 13:00:00,314.00,42.00,3.00,603.00,0.00,2.00,0.00,3.00,277.00,8.00,46.00
2022-06-30 14:00:00,315.00,43.00,5.00,604.00,0.00,2.00,0.00,3.00,261.00,8.00,47.00
2022-06-30 15:00:00,317.00,43.00,5.00,608.00,0.00,2.00,0.00,3.00,191.00,8.00,38.00
2022-06-30 16:00:00,317.00,41.00,5.00,608.00,0.00,2.00,0.00,3.00,133.00,9.00,31.00
2022-06-30 17:00:00,317.00,40.00,5.00,608.00,0.00,2.00,0.00,3.00,76.00,8.00,23.00
2022-06-30 18:00:00,322.00,41.00,5.00,613.00,0.00,2.00,0.00,3.00,38.00,9.00,19.00
2022-06-30 19:00:00,318.00,40.00,5.00,606.00,0.00,2.00,0.00,3.00,5.00,9.00,20.00
2022-06-30 20:00:00,307.00,41.00,3.00,590.00,0.00,2.00,0.00,3.00,0.00,8.00,33.00
2022-06-30 21:00:00,300.00,40.00,2.00,579.00,0.00,2.00,0.00,3.00,0.00,8.00,49.00
2022-06-30 22:00:00,220.00,40.00,2.00,433.00,0.00,2.00,0.00,3.00,0.00,9.00,64.00
2022-06-30 23:00:00,191.00,41.00,2.00,374.00,0.00,2.00,0.00,3.00,0.00,8.00,71.00
2022-07-01 00:00:00,181.00,39.00,2.00,353.00,0.00,2.00,0.00,3.00,0.00,8.00,77.00
2022-07-01 01:00:00,185.00,40.00,2.00,362.00,0.00,2.00,0.00,3.00,0.00,8.00,69.00
2022-07-01 02:00:00,188.00,41.00,2.00,360.00,0.00,2.00,0.00,3.00,14.00,8.00,61.00
2022-07-01 03:00:00,240.00,41.00,2.00,465.00,0.00,2.00,0.00,3.00,45.00,8.00,41.00
2022-07-01 04:00:00,301.00,41.00,3.00,586.00,0.00,2.00,0.00,3.00,91.00,7.00,31.00
2022-07-01 05:00:00,307.00,42.00,3.00,596.00,0.00,2.00,0.00,3.00,138.00,5.00,34.00
2022-07-01 06:00:00,308.00,42.00,5.00,597.00,0.00,2.00,0.00,3.00,189.00,1.00,44.00
2022-07-01 07:00:00,314.00,43.00,5.00,604.00,0.00,2.00,0.00,3.00,249.00,0.00,50.00
