,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2022-06-28 03:00:00,558.00,0.00,0.00,9558.00,1324.00,76.00,0.00,0.00,0.00,0.00,688.00,1722.00,0.00,7008.00,4.00,96.00,626.00,300.00,0.00,3244.00
2022-06-28 04:00:00,564.00,0.00,0.00,10451.00,1325.00,76.00,0.00,0.00,0.00,0.00,699.00,1559.00,0.00,7013.00,4.00,96.00,552.00,302.00,0.00,3114.00
2022-06-28 05:00:00,571.00,0.00,0.00,11819.00,1324.00,76.00,0.00,0.00,0.00,0.00,714.00,1754.00,0.00,7013.00,4.00,93.00,836.00,302.00,0.00,2640.00
2022-06-28 06:00:00,568.00,0.00,0.00,11903.00,1324.00,78.00,0.00,0.00,0.00,-62.00,727.00,1735.00,0.00,6948.00,4.00,96.00,4081.00,304.00,0.00,2063.00
2022-06-28 07:00:00,557.00,0.00,0.00,10892.00,1324.00,80.00,0.00,0.00,0.00,-301.00,728.00,1265.00,0.00,6856.00,7.00,102.00,8800.00,306.00,0.00,1900.00
2022-06-28 08:00:00,544.00,0.00,0.00,10981.00,1324.00,80.00,0.00,0.00,0.00,-748.00,712.00,926.00,0.00,6833.00,7.00,103.00,11011.00,311.00,0.00,1701.00
2022-06-28 09:00:00,523.00,0.00,0.00,11238.00,1320.00,80.00,0.00,0.00,0.00,-819.00,699.00,783.00,0.00,6830.00,8.00,103.00,11489.00,306.00,0.00,1458.00
2022-06-28 10:00:00,537.00,0.00,0.00,11268.00,1323.00,79.00,0.00,0.00,0.00,-802.00,689.00,667.00,0.00,6822.00,5.00,99.00,11963.00,308.00,0.00,1396.00
2022-06-28 11:00:00,535.00,0.00,0.00,11044.00,1323.00,77.00,0.00,0.00,0.00,-742.00,677.00,577.00,0.00,6818.00,4.00,97.00,12339.00,303.00,0.00,1562.00
2022-06-28 12:00:00,532.00,0.00,0.00,10732.00,1310.00,80.00,0.00,0.00,0.00,-1018.00,679.00,465.00,0.00,6812.00,2.00,99.00,12473.00,297.00,0.00,1880.00
2022-06-28 13:00:00,537.00,0.00,0.00,10946.00,1322.00,76.00,0.00,0.00,0.00,-1728.00,670.00,450.00,0.00,6808.00,0.00,98.00,12272.00,295.00,0.00,2120.00
2022-06-28 14:00:00,529.00,0.00,0.00,11442.00,1321.00,79.00,0.00,0.00,0.00,-2027.00,659.00,430.00,0.00,6833.00,0.00,95.00,11876.00,299.00,0.00,2111.00
2022-06-28 15:00:00,522.00,0.00,0.00,11526.00,1323.00,80.00,0.00,0.00,0.00,-1956.00,659.00,420.00,0.00,6875.00,1.00,96.00,11383.00,303.00,0.00,2301.00
2022-06-28 16:00:00,515.00,0.00,0.00,11525.00,1323.00,80.00,0.00,0.00,0.00,-1885.00,671.00,425.00,0.00,6904.00,4.00,98.00,10542.00,302.00,0.00,2559.00
2022-06-28 17:00:00,520.00,0.00,0.00,11709.00,1324.00,80.00,0.00,0.00,0.00,-1623.00,680.00,487.00,0.00,6931.00,4.00,99.00,9162.00,299.00,0.00,2767.00
2022-06-28 18:00:00,538.00,0.00,0.00,12892.00,1326.00,80.00,0.00,0.00,0.00,-1017.00,708.00,1178.00,0.00,6952.00,4.00,101.00,5754.00,300.00,0.00,2996.00
2022-06-28 19:00:00,555.00,0.00,0.00,13659.00,1325.00,80.00,0.00,0.00,0.00,-193.00,759.00,2641.00,0.00,6963.00,4.00,104.00,1886.00,302.00,0.00,3114.00
2022-06-28 20:00:00,552.00,0.00,0.00,13664.00,1327.00,80.00,0.00,0.00,0.00,-2.00,796.00,3125.00,0.00,6965.00,0.00,104.00,792.00,299.00,0.00,3510.00
2022-06-28 21:00:00,538.00,0.00,0.00,12965.00,1328.00,80.00,0.00,0.00,0.00,0.00,788.00,2427.00,0.00,6968.00,0.00,104.00,659.00,298.00,0.00,3553.00
2022-06-28 22:00:00,540.00,0.00,0.00,11452.00,1325.00,74.00,0.00,0.00,0.00,0.00,749.00,1946.00,0.00,6969.00,0.00,104.00,600.00,300.00,0.00,3495.00
2022-06-28 23:00:00,553.00,0.00,0.00,10374.00,1326.00,64.00,0.00,0.00,0.00,0.00,716.00,1733.00,0.00,6968.00,1.00,100.00,618.00,301.00,0.00,3376.00
2022-06-29 00:00:00,552.00,0.00,0.00,9895.00,1324.00,64.00,0.00,0.00,0.00,-126.00,692.00,954.00,0.00,6971.00,1.00,97.00,614.00,302.00,0.00,3289.00
2022-06-29 01:00:00,556.00,0.00,0.00,10026.00,1327.00,64.00,0.00,0.00,0.00,-349.00,669.00,754.00,0.00,6978.00,1.00,96.00,604.00,301.00,0.00,2926.00
2022-06-29 02:00:00,555.00,0.00,0.00,10174.00,1327.00,64.00,0.00,0.00,0.00,-531.00,662.00,648.00,0.00,6981.00,4.00,96.00,612.00,305.00,0.00,2486.00
2022-06-29 03:00:00,563.00,0.00,0.00,10427.00,1327.00,64.00,0.00,0.00,0.00,-443.00,663.00,785.00,0.00,6986.00,4.00,96.00,610.00,308.00,0.00,1995.00
2022-06-29 04:00:00,556.00,0.00,0.00,10597.00,1328.00,64.00,0.00,0.00,0.00,-336.00,690.00,1230.00,0.00,6988.00,4.00,99.00,547.00,303.00,0.00,1784.00
2022-06-29 05:00:00,554.00,0.00,0.00,10868.00,1325.00,64.00,0.00,0.00,0.00,-280.00,715.00,1819.00,0.00,6985.00,6.00,96.00,777.00,302.00,0.00,1758.00
2022-06-29 06:00:00,559.00,0.00,0.00,10538.00,1326.00,68.00,0.00,0.00,0.00,-221.00,718.00,1651.00,0.00,6983.00,8.00,102.00,3754.00,302.00,0.00,1515.00
2022-06-29 07:00:00,543.00,0.00,0.00,9542.00,1325.00,68.00,0.00,0.00,0.00,-510.00,708.00,1097.00,0.00,6981.00,8.00,104.00,8984.00,293.00,0.00,1062.00
2022-06-29 08:00:00,521.00,0.00,0.00,9653.00,1324.00,72.00,0.00,0.00,0.00,-759.00,692.00,875.00,0.00,6975.00,8.00,100.00,11641.00,295.00,0.00,1016.00
2022-06-29 09:00:00,532.00,0.00,0.00,9508.00,1327.00,70.00,0.00,0.00,0.00,-644.00,678.00,838.00,0.00,6968.00,14.00,96.00,12586.00,289.00,0.00,1309.00
