,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2022-06-28 04:00:00,296.00,3649.00,38.00,151.00,-295.00,3564.00,833.00,27583.00,360.00,196.00,1630.00
2022-06-28 05:00:00,298.00,3926.00,37.00,151.00,418.00,4000.00,1281.00,27083.00,1113.00,198.00,1709.00
2022-06-28 06:00:00,302.00,4115.00,36.00,151.00,828.00,4335.00,1671.00,26667.00,2836.00,200.00,1597.00
2022-06-28 07:00:00,302.00,3798.00,35.00,151.00,1141.00,4173.00,1661.00,26348.00,5092.00,191.00,1480.00
2022-06-28 08:00:00,303.00,3762.00,36.00,151.00,1081.00,3903.00,1705.00,26332.00,7136.00,192.00,1624.00
2022-06-28 09:00:00,303.00,3755.00,35.00,151.00,929.00,4062.00,1689.00,26317.00,8802.00,190.00,1871.00
2022-06-28 10:00:00,304.00,3759.00,35.00,151.00,904.00,4104.00,1704.00,26298.00,9305.00,193.00,1972.00
2022-06-28 11:00:00,304.00,3705.00,34.00,151.00,795.00,3919.00,1454.00,26265.00,9142.00,192.00,2029.00
2022-06-28 12:00:00,306.00,3614.00,34.00,151.00,422.00,3769.00,1229.00,25996.00,8974.00,190.00,2184.00
2022-06-28 13:00:00,304.00,3716.00,34.00,151.00,509.00,3652.00,1321.00,25333.00,8648.00,192.00,2312.00
2022-06-28 14:00:00,303.00,3539.00,35.00,151.00,714.00,3746.00,1220.00,25297.00,8063.00,192.00,2411.00
2022-06-28 15:00:00,305.00,3330.00,35.00,151.00,835.00,4072.00,1291.00,25283.00,6664.00,191.00,2373.00
2022-06-28 16:00:00,306.00,3128.00,34.00,151.00,1491.00,4674.00,1829.00,25278.00,4733.00,193.00,2231.00
2022-06-28 17:00:00,303.00,3636.00,34.00,151.00,1995.00,4985.00,2746.00,25264.00,2604.00,186.00,1997.00
2022-06-28 18:00:00,305.00,3980.00,33.00,151.00,2320.00,4945.00,2538.00,25519.00,929.00,195.00,1820.00
2022-06-28 19:00:00,302.00,3959.00,32.00,151.00,1388.00,4622.00,1725.00,26401.00,290.00,191.00,1793.00
2022-06-28 20:00:00,298.00,3859.00,32.00,151.00,1188.00,4220.00,1177.00,27187.00,0.00,198.00,1829.00
2022-06-28 21:00:00,297.00,3718.00,32.00,151.00,699.00,3875.00,778.00,27658.00,0.00,200.00,1857.00
2022-06-28 22:00:00,295.00,3775.00,36.00,138.00,140.00,3579.00,760.00,27264.00,0.00,197.00,1749.00
2022-06-28 23:00:00,296.00,3876.00,36.00,138.00,-696.00,3439.00,719.00,27108.00,0.00,196.00,1645.00
2022-06-29 00:00:00,295.00,3991.00,36.00,138.00,-1204.00,3333.00,675.00,27501.00,0.00,201.00,1647.00
2022-06-29 01:00:00,295.00,3820.00,36.00,138.00,-1837.00,3225.00,575.00,27451.00,0.00,207.00,1509.00
2022-06-29 02:00:00,296.00,3604.00,36.00,138.00,-1936.00,3074.00,507.00,27625.00,0.00,207.00,1389.00
2022-06-29 03:00:00,294.00,3690.00,36.00,138.00,-1587.00,3007.00,583.00,27655.00,181.00,200.00,1185.00
2022-06-29 04:00:00,294.00,3562.00,35.00,254.00,85.00,3269.00,1510.00,27467.00,366.00,199.00,1122.00
2022-06-29 05:00:00,296.00,3661.00,34.00,788.00,1000.00,3694.00,1832.00,26817.00,1160.00,200.00,1049.00
2022-06-29 06:00:00,298.00,3783.00,34.00,797.00,1042.00,3909.00,1871.00,27015.00,3046.00,202.00,869.00
2022-06-29 07:00:00,297.00,3585.00,33.00,589.00,830.00,4020.00,1543.00,27181.00,5402.00,194.00,879.00
2022-06-29 08:00:00,298.00,3502.00,33.00,462.00,968.00,4006.00,1671.00,27403.00,7357.00,192.00,1072.00
2022-06-29 09:00:00,299.00,3305.00,32.00,334.00,804.00,4050.00,1389.00,27781.00,8538.00,193.00,1365.00
2022-06-29 10:00:00,298.00,3286.00,31.00,334.00,858.00,3958.00,1248.00,27764.00,9069.00,195.00,1537.00
2022-06-29 11:00:00,299.00,3371.00,31.00,205.00,754.00,3851.00,1259.00,27747.00,9121.00,190.00,1519.00
