,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Waste,Wind Onshore
2022-06-28 04:00:00,70.00,431.00,201.00,0.00,7.00,-3.00,103.00,326.00,38.00,6.00,5.00,36.00
2022-06-28 05:00:00,69.00,411.00,199.00,0.00,7.00,-3.00,122.00,409.00,38.00,15.00,6.00,59.00
2022-06-28 06:00:00,69.00,403.00,200.00,0.00,7.00,-3.00,142.00,393.00,38.00,27.00,6.00,65.00
2022-06-28 07:00:00,69.00,370.00,199.00,0.00,6.00,-2.00,175.00,435.00,38.00,38.00,6.00,66.00
2022-06-28 08:00:00,69.00,368.00,197.00,0.00,6.00,0.00,178.00,416.00,37.00,45.00,6.00,67.00
2022-06-28 09:00:00,69.00,366.00,195.00,0.00,6.00,0.00,177.00,459.00,37.00,51.00,6.00,81.00
2022-06-28 10:00:00,69.00,364.00,198.00,0.00,6.00,0.00,146.00,444.00,37.00,52.00,6.00,89.00
2022-06-28 11:00:00,69.00,364.00,197.00,0.00,6.00,0.00,127.00,496.00,37.00,52.00,6.00,80.00
2022-06-28 12:00:00,69.00,368.00,196.00,0.00,6.00,0.00,128.00,428.00,37.00,49.00,6.00,117.00
2022-06-28 13:00:00,69.00,426.00,196.00,0.00,6.00,0.00,129.00,360.00,37.00,43.00,6.00,164.00
2022-06-28 14:00:00,69.00,452.00,198.00,0.00,6.00,0.00,149.00,337.00,37.00,34.00,6.00,212.00
2022-06-28 15:00:00,69.00,452.00,199.00,0.00,6.00,0.00,149.00,335.00,37.00,23.00,6.00,186.00
2022-06-28 16:00:00,69.00,453.00,199.00,0.00,6.00,99.00,179.00,487.00,37.00,11.00,6.00,76.00
2022-06-28 17:00:00,69.00,456.00,198.00,0.00,6.00,130.00,178.00,549.00,37.00,3.00,6.00,61.00
2022-06-28 18:00:00,70.00,458.00,200.00,0.00,6.00,131.00,178.00,545.00,38.00,0.00,6.00,154.00
2022-06-28 19:00:00,70.00,461.00,201.00,0.00,6.00,130.00,148.00,521.00,38.00,0.00,5.00,214.00
2022-06-28 20:00:00,70.00,463.00,201.00,0.00,6.00,-2.00,131.00,319.00,38.00,0.00,5.00,345.00
2022-06-28 21:00:00,70.00,461.00,201.00,0.00,6.00,-3.00,110.00,170.00,38.00,0.00,5.00,357.00
