,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2022-06-28 03:00:00,113.50,352.00,707.50,0.50,0.00,0.00,6.00,6.00,1844.00,58.00,10.00,66.00,19.50,127.00
2022-06-28 04:00:00,114.25,337.50,818.00,0.00,0.00,0.00,6.00,6.00,1846.50,62.50,11.75,172.75,19.00,118.75
2022-06-28 05:00:00,114.75,345.75,938.75,1.00,0.00,0.00,6.00,6.00,1845.75,65.50,11.75,428.00,18.75,45.50
2022-06-28 06:00:00,102.25,358.50,1127.00,0.25,145.25,0.00,6.00,6.00,1847.25,73.75,12.25,683.00,17.75,34.00
2022-06-28 07:00:00,86.00,364.00,916.00,0.00,101.25,0.00,6.00,6.00,1846.50,80.50,12.00,1052.25,17.25,52.75
2022-06-28 08:00:00,84.00,362.50,954.00,0.00,0.00,0.00,6.50,6.00,1847.75,84.75,12.50,1322.50,17.75,61.00
2022-06-28 09:00:00,84.00,365.25,973.25,0.00,0.00,0.00,6.00,6.00,1846.75,88.25,11.50,1415.50,16.75,36.25
2022-06-28 10:00:00,95.25,365.00,922.50,0.00,0.00,0.00,6.00,6.00,1845.25,89.00,11.25,1536.25,17.75,23.75
2022-06-28 11:00:00,95.50,354.00,885.00,0.50,0.00,0.00,6.00,6.00,1844.25,89.00,12.00,1582.75,16.50,12.00
2022-06-28 12:00:00,95.25,360.00,911.25,0.00,0.00,0.00,6.00,6.00,1844.00,88.75,10.75,1475.75,17.50,4.75
2022-06-28 13:00:00,93.75,362.00,929.00,0.00,0.00,0.00,6.00,6.00,1843.25,88.00,11.25,1312.75,17.50,1.00
2022-06-28 14:00:00,95.00,363.00,871.75,0.00,0.00,0.00,6.00,6.00,1842.50,83.25,12.50,1031.75,17.75,1.75
2022-06-28 15:00:00,92.75,365.00,857.75,0.00,0.00,0.00,6.00,6.00,1842.25,75.75,12.50,688.25,17.25,1.75
2022-06-28 16:00:00,95.25,361.00,951.25,0.00,-0.25,0.00,6.25,6.00,1842.50,67.25,13.00,307.75,18.00,0.00
2022-06-28 17:00:00,97.25,359.75,1044.75,0.25,0.00,0.00,6.00,5.50,1840.25,59.50,13.00,101.50,17.75,0.00
2022-06-28 18:00:00,92.75,358.75,953.75,0.00,0.00,0.00,6.00,6.00,1840.50,59.00,13.00,11.25,17.75,4.50
2022-06-28 19:00:00,95.25,353.75,918.75,0.00,0.00,0.00,6.00,6.00,1841.00,59.00,13.00,0.00,18.25,9.25
2022-06-28 20:00:00,96.25,362.00,859.00,0.00,0.00,0.00,6.00,6.00,1840.75,58.75,12.75,0.00,19.00,5.75
2022-06-28 21:00:00,96.50,346.75,829.75,0.00,0.00,0.00,6.00,6.00,1840.00,58.75,12.25,0.00,19.50,5.50
2022-06-28 22:00:00,96.75,327.25,764.50,0.00,0.00,0.00,5.00,6.00,1840.50,53.50,12.00,0.00,20.00,4.50
2022-06-28 23:00:00,97.75,333.75,750.00,0.00,0.00,0.00,5.00,6.00,1841.25,53.25,11.00,0.00,20.00,8.50
2022-06-29 00:00:00,97.75,339.25,733.75,0.00,0.00,0.00,5.00,6.00,1841.75,52.25,10.25,0.00,19.75,12.00
2022-06-29 01:00:00,97.00,351.25,744.75,0.25,0.00,0.00,5.00,6.00,1841.25,53.00,9.75,0.00,19.75,13.00
2022-06-29 02:00:00,98.75,343.75,745.75,0.75,0.00,0.00,5.00,6.00,1841.75,52.00,10.00,1.00,20.00,7.25
2022-06-29 03:00:00,108.75,335.50,777.25,0.25,0.00,0.00,5.00,6.00,1842.00,52.00,10.75,51.50,19.25,9.75
2022-06-29 04:00:00,118.25,334.75,875.25,0.00,0.00,0.00,6.00,6.00,1843.25,55.75,11.75,203.25,19.25,13.75
2022-06-29 05:00:00,124.50,341.75,903.50,0.25,0.00,0.00,5.50,6.00,1843.50,59.25,12.50,534.00,19.50,12.75
2022-06-29 06:00:00,131.50,343.50,893.00,0.00,0.00,0.00,6.00,6.00,1843.50,67.00,13.00,923.50,18.25,5.75
2022-06-29 07:00:00,131.25,350.50,885.25,0.00,0.00,0.00,6.00,6.00,1843.75,74.50,13.00,1278.50,17.25,9.25
2022-06-29 08:00:00,132.25,341.00,915.75,0.25,0.00,0.00,6.00,6.00,1844.00,78.75,11.75,1535.00,17.50,11.75
2022-06-29 09:00:00,132.00,347.50,1012.50,1.50,0.00,0.00,6.00,6.00,1842.75,82.00,12.00,1676.50,17.50,27.75
2022-06-29 10:00:00,131.25,345.50,815.50,0.25,0.00,0.00,6.00,6.00,1842.00,82.75,12.00,1720.75,17.50,53.75
2022-06-29 11:00:00,131.00,342.00,812.75,0.00,0.00,0.00,6.00,6.00,1841.25,82.50,12.00,1681.50,17.75,59.25
2022-06-29 12:00:00,131.00,339.50,837.75,0.25,0.00,0.00,6.00,6.00,1840.50,82.50,11.75,1577.50,16.50,73.25
