,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Offshore,Wind Onshore
2022-06-28 04:00:00,562.00,795.00,17702.00,3129.00,462.00,568.00,-332.00,3103.00,511.00,2049.00,525.00,38.00,0.00,2255.00
2022-06-28 05:00:00,549.00,795.00,19766.00,2959.00,294.00,567.00,899.00,3946.00,876.00,2225.00,1996.00,38.00,0.00,2049.00
2022-06-28 06:00:00,552.00,797.00,20530.00,2887.00,293.00,567.00,1089.00,4283.00,758.00,2325.00,4069.00,39.00,0.00,1645.00
2022-06-28 07:00:00,550.00,794.00,20713.00,2910.00,344.00,559.00,809.00,4141.00,729.00,2336.00,5792.00,37.00,0.00,1212.00
2022-06-28 08:00:00,545.00,792.00,20729.00,2957.00,504.00,558.00,1503.00,4247.00,880.00,2285.00,5666.00,36.00,0.00,803.00
2022-06-28 09:00:00,550.00,793.00,20362.00,2965.00,614.00,566.00,1764.00,4870.00,1130.00,2285.00,6094.00,36.00,0.00,688.00
2022-06-28 10:00:00,555.00,791.00,20402.00,2739.00,642.00,567.00,1738.00,4986.00,1108.00,2304.00,6363.00,35.00,0.00,673.00
2022-06-28 11:00:00,562.00,793.00,20967.00,2560.00,699.00,565.00,1069.00,4917.00,1083.00,2302.00,6123.00,38.00,0.00,689.00
2022-06-28 12:00:00,560.00,795.00,20838.00,2770.00,730.00,565.00,1213.00,4885.00,1199.00,2354.00,5615.00,37.00,0.00,710.00
2022-06-28 13:00:00,549.00,791.00,20890.00,2918.00,731.00,567.00,746.00,4806.00,1147.00,2368.00,5100.00,38.00,0.00,1011.00
2022-06-28 14:00:00,557.00,789.00,20916.00,3009.00,728.00,566.00,573.00,4845.00,963.00,2464.00,4684.00,36.00,0.00,1398.00
2022-06-28 15:00:00,565.00,791.00,20682.00,3039.00,665.00,564.00,525.00,4938.00,829.00,2547.00,3550.00,38.00,0.00,1647.00
2022-06-28 16:00:00,536.00,796.00,20887.00,3188.00,435.00,563.00,685.00,5797.00,925.00,2710.00,2246.00,38.00,0.00,1642.00
2022-06-28 17:00:00,535.00,797.00,21301.00,3309.00,352.00,563.00,853.00,6301.00,1378.00,2706.00,982.00,36.00,0.00,1531.00
2022-06-28 18:00:00,574.00,793.00,21113.00,3297.00,350.00,562.00,960.00,5939.00,904.00,2708.00,102.00,36.00,0.00,1395.00
2022-06-28 19:00:00,583.00,795.00,20985.00,3206.00,356.00,562.00,460.00,5478.00,858.00,2735.00,0.00,39.00,0.00,1022.00
2022-06-28 20:00:00,596.00,795.00,21022.00,3229.00,354.00,564.00,83.00,4996.00,684.00,2777.00,0.00,41.00,0.00,1093.00
2022-06-28 21:00:00,627.00,794.00,20215.00,3192.00,348.00,565.00,-273.00,4439.00,537.00,2633.00,0.00,41.00,0.00,1313.00
2022-06-28 22:00:00,545.00,795.00,17452.00,3065.00,359.00,562.00,-705.00,3298.00,513.00,2357.00,0.00,42.00,0.00,1669.00
2022-06-28 23:00:00,531.00,793.00,14605.00,3089.00,350.00,562.00,-798.00,3040.00,245.00,2278.00,0.00,40.00,0.00,1986.00
2022-06-29 00:00:00,530.00,792.00,13173.00,3113.00,350.00,562.00,-797.00,2958.00,242.00,2111.00,0.00,41.00,0.00,2070.00
2022-06-29 01:00:00,525.00,793.00,12486.00,3195.00,382.00,567.00,-797.00,2892.00,238.00,1995.00,0.00,41.00,0.00,2172.00
2022-06-29 02:00:00,514.00,792.00,11987.00,3224.00,592.00,567.00,-712.00,2845.00,238.00,2015.00,0.00,41.00,0.00,2265.00
2022-06-29 03:00:00,513.00,794.00,12716.00,3212.00,448.00,567.00,-618.00,2962.00,264.00,2306.00,5.00,40.00,0.00,2144.00
2022-06-29 04:00:00,518.00,794.00,15560.00,3176.00,398.00,567.00,-481.00,3472.00,421.00,2457.00,454.00,39.00,0.00,2027.00
2022-06-29 05:00:00,510.00,790.00,18660.00,3224.00,564.00,566.00,884.00,4314.00,648.00,2444.00,2280.00,39.00,0.00,1916.00
2022-06-29 06:00:00,508.00,786.00,19359.00,3298.00,495.00,572.00,1209.00,4811.00,877.00,2524.00,4808.00,40.00,0.00,1672.00
2022-06-29 07:00:00,504.00,787.00,19540.00,3293.00,447.00,590.00,1329.00,4621.00,682.00,2529.00,7260.00,37.00,0.00,1541.00
2022-06-29 08:00:00,502.00,789.00,19053.00,3276.00,462.00,588.00,761.00,4325.00,635.00,2560.00,8881.00,38.00,0.00,1433.00
2022-06-29 09:00:00,502.00,787.00,19001.00,3207.00,390.00,590.00,662.00,4292.00,629.00,2573.00,10131.00,39.00,0.00,1530.00
2022-06-29 10:00:00,496.00,786.00,18959.00,3201.00,351.00,588.00,377.00,3716.00,670.00,2405.00,10826.00,39.00,0.00,1775.00
2022-06-29 11:00:00,488.00,789.00,18944.00,3181.00,307.00,588.00,194.00,3716.00,695.00,2324.00,10670.00,39.00,8.00,2110.00
2022-06-29 12:00:00,485.00,789.00,19111.00,3191.00,291.00,587.00,164.00,3604.00,654.00,2300.00,10630.00,36.00,30.00,2482.00
2022-06-29 13:00:00,481.00,789.00,19533.00,3179.00,291.00,586.00,-30.00,3809.00,686.00,2303.00,9753.00,36.00,23.00,2743.00
2022-06-29 14:00:00,487.00,787.00,20256.00,3180.00,291.00,584.00,293.00,4386.00,515.00,2293.00,8136.00,36.00,29.00,2647.00
2022-06-29 15:00:00,500.00,788.00,20233.00,3267.00,301.00,586.00,721.00,5566.00,768.00,2310.00,6461.00,36.00,30.00,2426.00
2022-06-29 16:00:00,496.00,791.00,20832.00,3300.00,437.00,593.00,1062.00,5686.00,828.00,2446.00,3837.00,37.00,0.00,2008.00
2022-06-29 17:00:00,504.00,793.00,20612.00,3526.00,507.00,592.00,1459.00,5856.00,1050.00,2725.00,1265.00,36.00,0.00,1595.00
