,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2022-06-28 04:00:00,27.00,376.00,0.00,72.00,3.00,57.00,54.00,98.00
2022-06-28 05:00:00,27.00,441.00,0.00,71.00,3.00,91.00,53.00,41.00
2022-06-28 06:00:00,27.00,436.00,0.00,74.00,3.00,113.00,53.00,12.00
2022-06-28 07:00:00,27.00,433.00,0.00,74.00,3.00,133.00,53.00,15.00
2022-06-28 08:00:00,27.00,429.00,0.00,72.00,3.00,137.00,53.00,35.00
2022-06-28 09:00:00,27.00,428.00,0.00,50.00,3.00,131.00,53.00,70.00
2022-06-28 10:00:00,27.00,285.00,0.00,50.00,3.00,121.00,53.00,102.00
2022-06-28 11:00:00,27.00,313.00,0.00,51.00,3.00,117.00,53.00,120.00
2022-06-28 12:00:00,27.00,317.00,0.00,25.00,3.00,106.00,53.00,111.00
2022-06-28 13:00:00,27.00,424.00,100.00,41.00,3.00,66.00,53.00,86.00
2022-06-28 14:00:00,27.00,427.00,78.00,50.00,3.00,39.00,53.00,69.00
2022-06-28 15:00:00,27.00,428.00,0.00,75.00,3.00,24.00,53.00,47.00
2022-06-28 16:00:00,27.00,429.00,12.00,75.00,3.00,11.00,53.00,76.00
2022-06-28 17:00:00,27.00,430.00,196.00,74.00,3.00,2.00,54.00,133.00
2022-06-28 18:00:00,27.00,431.00,375.00,54.00,3.00,0.00,53.00,120.00
2022-06-28 19:00:00,27.00,438.00,408.00,49.00,3.00,0.00,53.00,70.00
2022-06-28 20:00:00,27.00,440.00,218.00,49.00,3.00,0.00,54.00,21.00
2022-06-28 21:00:00,27.00,228.00,0.00,25.00,3.00,0.00,53.00,46.00
2022-06-28 22:00:00,27.00,44.00,0.00,25.00,3.00,0.00,53.00,77.00
2022-06-28 23:00:00,27.00,44.00,0.00,26.00,3.00,0.00,54.00,92.00
2022-06-29 00:00:00,27.00,44.00,0.00,26.00,3.00,0.00,55.00,80.00
2022-06-29 01:00:00,27.00,44.00,-222.00,25.00,3.00,4.00,55.00,83.00
2022-06-29 02:00:00,27.00,50.00,-180.00,25.00,3.00,11.00,55.00,75.00
2022-06-29 03:00:00,27.00,165.00,0.00,25.00,3.00,27.00,54.00,48.00
2022-06-29 04:00:00,27.00,375.00,0.00,48.00,3.00,63.00,54.00,38.00
2022-06-29 05:00:00,27.00,436.00,0.00,71.00,3.00,99.00,53.00,28.00
2022-06-29 06:00:00,27.00,437.00,0.00,73.00,3.00,142.00,50.00,26.00
2022-06-29 07:00:00,27.00,432.00,0.00,68.00,3.00,169.00,54.00,36.00
2022-06-29 08:00:00,27.00,429.00,0.00,26.00,3.00,172.00,54.00,10.00
2022-06-29 09:00:00,27.00,427.00,0.00,25.00,3.00,155.00,54.00,7.00
2022-06-29 10:00:00,27.00,424.00,0.00,26.00,3.00,122.00,54.00,9.00
2022-06-29 11:00:00,27.00,421.00,0.00,26.00,3.00,107.00,54.00,11.00
2022-06-29 12:00:00,27.00,420.00,0.00,26.00,3.00,93.00,53.00,12.00
