,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Waste,Wind Onshore
2022-06-28 03:00:00,42.00,0.50,2.00,0.00,1.50,11.50,1.00
2022-06-28 04:00:00,42.00,13.75,2.50,0.00,10.50,11.25,2.00
2022-06-28 05:00:00,42.00,14.50,3.00,0.00,32.50,11.75,2.00
2022-06-28 06:00:00,42.00,11.75,3.00,0.00,64.75,11.25,2.25
2022-06-28 07:00:00,42.25,10.50,2.25,0.00,101.50,11.00,3.00
2022-06-28 08:00:00,41.25,9.00,1.00,0.00,125.50,11.00,7.50
2022-06-28 09:00:00,42.00,9.25,1.50,0.00,139.00,11.00,7.25
2022-06-28 10:00:00,41.50,9.50,1.00,0.00,143.50,10.75,4.50
2022-06-28 11:00:00,40.50,11.00,1.00,0.00,153.50,10.75,6.00
2022-06-28 12:00:00,40.25,9.75,1.00,0.00,161.75,11.00,3.00
2022-06-28 13:00:00,38.25,5.75,1.25,0.00,158.50,10.75,2.25
2022-06-28 14:00:00,37.25,6.25,2.25,0.00,141.00,10.75,1.75
2022-06-28 15:00:00,36.00,7.00,2.25,0.00,112.75,11.00,1.75
2022-06-28 16:00:00,36.25,7.75,2.50,0.00,77.50,10.75,1.50
2022-06-28 17:00:00,37.75,8.25,3.00,3.75,41.75,11.00,1.00
2022-06-28 18:00:00,41.75,9.75,2.25,2.50,16.00,11.00,1.00
2022-06-28 19:00:00,42.00,8.25,2.00,0.00,2.50,11.00,3.50
2022-06-28 20:00:00,41.50,0.50,2.50,0.00,0.00,11.00,11.00
2022-06-28 21:00:00,41.50,0.00,4.75,0.00,0.00,11.00,22.75
2022-06-28 22:00:00,41.50,0.00,5.00,0.00,0.00,11.00,21.00
2022-06-28 23:00:00,41.00,0.00,5.00,0.00,0.00,11.00,21.00
2022-06-29 00:00:00,41.00,0.00,4.75,0.00,0.00,11.25,17.75
2022-06-29 01:00:00,41.00,0.00,1.50,0.00,0.00,11.00,21.00
2022-06-29 02:00:00,41.75,0.00,0.50,0.00,0.00,11.00,13.75
2022-06-29 03:00:00,40.75,0.00,1.00,0.00,0.25,10.75,4.00
2022-06-29 04:00:00,41.75,11.25,1.00,0.00,5.25,11.25,0.50
2022-06-29 05:00:00,42.00,11.50,1.50,0.00,16.75,10.75,0.25
2022-06-29 06:00:00,40.50,10.50,2.50,0.00,24.75,10.75,0.00
2022-06-29 07:00:00,40.00,11.75,3.00,0.00,47.75,10.75,0.00
2022-06-29 08:00:00,39.75,11.50,5.50,0.00,91.50,10.75,0.00
2022-06-29 09:00:00,41.75,10.50,9.25,0.00,139.75,10.50,0.00
2022-06-29 10:00:00,41.00,11.50,10.00,0.00,152.00,10.75,0.00
2022-06-29 11:00:00,40.50,11.25,8.25,0.00,148.00,11.00,0.00
2022-06-29 12:00:00,42.50,9.00,4.00,0.00,148.50,10.50,0.75
2022-06-29 13:00:00,42.75,5.00,0.75,0.00,137.25,10.75,2.25
2022-06-29 14:00:00,42.00,4.25,1.00,0.00,122.00,10.75,3.00
2022-06-29 15:00:00,42.00,5.25,1.00,0.00,101.25,10.75,4.00
2022-06-29 16:00:00,42.00,6.00,1.50,0.00,70.25,10.50,3.50
2022-06-29 17:00:00,41.50,7.75,2.75,3.75,39.25,10.50,4.00
2022-06-29 18:00:00,41.75,9.00,2.75,2.50,16.00,10.75,4.25
2022-06-29 19:00:00,42.00,7.75,2.75,0.00,1.75,10.75,4.75
2022-06-29 20:00:00,42.00,0.75,2.00,0.00,0.00,11.00,4.00
2022-06-29 21:00:00,42.00,0.33,2.00,0.00,0.00,11.00,1.33
2022-06-29 22:00:00,41.00,0.00,2.00,0.00,0.00,11.00,0.00
2022-06-29 23:00:00,,,,,,,
2022-06-30 00:00:00,41.00,0.00,2.00,0.00,0.00,12.00,0.00
2022-06-30 01:00:00,41.00,0.00,3.00,0.00,0.00,9.00,0.00
2022-06-30 02:00:00,41.00,0.00,3.67,0.00,0.00,11.67,0.00
2022-06-30 03:00:00,41.50,0.25,3.00,0.00,0.75,11.50,3.00
2022-06-30 04:00:00,42.25,13.50,4.00,0.00,10.75,11.25,7.25
2022-06-30 05:00:00,43.00,14.00,4.75,0.00,36.75,11.25,8.50
2022-06-30 06:00:00,42.25,13.25,5.00,0.00,66.25,11.00,4.50
2022-06-30 07:00:00,43.00,13.00,4.00,0.00,91.00,11.00,1.75
2022-06-30 08:00:00,42.50,11.00,2.50,0.00,129.75,11.00,1.00
2022-06-30 09:00:00,42.25,9.50,2.00,0.00,145.75,10.75,1.00
2022-06-30 10:00:00,42.25,5.75,2.00,0.00,138.25,10.75,3.00
2022-06-30 11:00:00,42.00,7.00,2.50,0.00,138.50,10.50,3.00
2022-06-30 12:00:00,42.00,9.75,3.25,0.00,125.75,10.75,2.50
2022-06-30 13:00:00,42.50,7.25,5.00,0.00,111.00,10.75,7.75
2022-06-30 14:00:00,42.75,6.25,6.00,0.00,101.00,11.00,42.75
2022-06-30 15:00:00,42.50,5.75,5.50,0.00,40.75,10.75,112.75
2022-06-30 16:00:00,42.25,5.50,3.25,0.00,27.00,11.00,99.75
2022-06-30 17:00:00,42.00,9.50,1.75,3.75,18.75,11.00,39.75
2022-06-30 18:00:00,42.75,13.25,2.00,2.50,8.25,11.50,12.75
2022-06-30 19:00:00,42.50,13.00,1.50,0.00,0.75,11.00,6.50
2022-06-30 20:00:00,41.75,1.00,1.00,0.00,0.00,11.00,22.25
2022-06-30 21:00:00,42.00,0.00,1.33,0.00,0.00,11.00,26.33
2022-06-30 22:00:00,42.00,0.00,2.33,0.00,0.00,11.00,15.33
2022-06-30 23:00:00,42.00,0.00,3.00,0.00,0.00,11.00,19.75
2022-07-01 00:00:00,42.00,0.00,3.00,0.00,0.00,11.50,21.50
2022-07-01 01:00:00,42.00,0.00,2.67,0.00,0.00,11.33,14.33
2022-07-01 02:00:00,42.00,0.00,2.50,0.00,0.00,11.00,13.00
2022-07-01 03:00:00,42.67,0.00,2.00,0.00,0.00,11.33,14.00
2022-07-01 04:00:00,43.00,13.50,2.25,0.00,2.75,11.00,12.25
2022-07-01 05:00:00,43.00,13.75,1.00,0.00,12.75,11.00,13.75
2022-07-01 06:00:00,42.75,11.25,1.00,0.00,43.00,10.75,9.75
2022-07-01 07:00:00,42.50,10.75,1.00,0.00,80.50,11.00,6.25
2022-07-01 08:00:00,42.00,8.00,1.00,0.00,112.25,11.00,7.00
2022-07-01 09:00:00,42.00,7.75,1.00,0.00,130.00,11.25,10.75
2022-07-01 10:00:00,42.00,6.75,2.50,0.00,126.25,11.00,14.00
2022-07-01 11:00:00,42.00,9.00,2.75,0.00,137.00,11.00,13.75
2022-07-01 12:00:00,42.00,7.25,2.25,0.00,127.50,11.00,14.25
2022-07-01 13:00:00,42.25,5.75,2.25,0.00,85.00,11.25,30.25
2022-07-01 14:00:00,42.75,6.00,2.50,0.00,110.25,11.00,25.50
2022-07-01 15:00:00,42.75,6.25,2.25,0.00,108.75,11.25,15.50
2022-07-01 16:00:00,43.00,6.00,1.75,0.00,75.25,10.75,13.00
2022-07-01 17:00:00,42.75,9.75,1.00,3.75,39.50,10.75,9.00
2022-07-01 18:00:00,42.25,10.00,1.00,2.50,15.25,10.75,6.00
2022-07-01 19:00:00,42.00,7.25,1.75,0.00,2.00,11.25,4.25
2022-07-01 20:00:00,41.67,0.67,3.00,0.00,0.00,11.00,3.67
2022-07-01 21:00:00,42.00,0.00,3.00,0.00,0.00,11.00,2.00
2022-07-01 22:00:00,41.00,0.00,2.00,0.00,0.00,11.00,1.00
2022-07-01 23:00:00,,,,,,,
2022-07-02 00:00:00,41.00,0.00,3.00,0.00,0.00,10.00,0.00
2022-07-02 01:00:00,,,,,,,
2022-07-02 02:00:00,42.00,0.00,2.00,0.00,0.00,11.50,0.00
2022-07-02 03:00:00,42.00,0.00,2.00,0.00,2.00,11.00,1.00
2022-07-02 04:00:00,42.00,13.50,2.00,0.00,11.25,11.00,2.75
2022-07-02 05:00:00,42.00,14.75,2.25,0.00,37.00,11.00,4.75
2022-07-02 06:00:00,42.00,12.25,2.00,0.00,72.50,11.00,5.25
2022-07-02 07:00:00,42.00,8.75,2.50,0.00,109.25,10.75,3.25
2022-07-02 08:00:00,42.00,7.00,3.00,0.00,141.00,10.75,5.25
2022-07-02 09:00:00,42.00,6.00,2.50,0.00,162.75,11.00,6.75
2022-07-02 10:00:00,41.50,5.50,2.25,0.00,172.00,11.00,6.75
2022-07-02 11:00:00,41.75,5.75,2.25,0.00,180.50,11.00,7.25
2022-07-02 12:00:00,40.75,6.50,1.00,0.00,178.25,10.75,6.50
2022-07-02 13:00:00,41.00,4.50,0.50,0.00,165.00,11.00,6.25
2022-07-02 14:00:00,41.00,3.75,1.00,0.00,143.25,10.50,5.25
