,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore
2022-06-28 04:00:00,27.00,6.00,275.00,23.00,4.00
2022-06-28 05:00:00,29.00,6.00,332.00,23.00,2.00
2022-06-28 06:00:00,28.00,6.00,366.00,21.00,0.00
2022-06-28 07:00:00,28.00,6.00,313.00,21.00,2.00
2022-06-28 08:00:00,28.00,6.00,305.00,21.00,5.00
2022-06-28 09:00:00,28.00,5.00,241.00,21.00,6.00
2022-06-28 10:00:00,28.00,5.00,233.00,21.00,6.00
2022-06-28 11:00:00,28.00,5.00,219.00,21.00,4.00
2022-06-28 12:00:00,28.00,5.00,217.00,21.00,2.00
2022-06-28 13:00:00,28.00,5.00,276.00,21.00,7.00
2022-06-28 14:00:00,28.00,6.00,234.00,21.00,12.00
2022-06-28 15:00:00,27.00,5.00,420.00,21.00,1.00
2022-06-28 16:00:00,26.00,5.00,584.00,21.00,1.00
2022-06-28 17:00:00,26.00,6.00,584.00,21.00,0.00
2022-06-28 18:00:00,26.00,6.00,583.00,22.00,2.00
2022-06-28 19:00:00,25.00,6.00,491.00,22.00,6.00
2022-06-28 20:00:00,24.00,6.00,444.00,22.00,4.00
2022-06-28 21:00:00,24.00,2.00,317.00,23.00,1.00
2022-06-28 22:00:00,24.00,0.00,23.00,23.00,2.00
2022-06-28 23:00:00,24.00,0.00,0.00,22.00,5.00
2022-06-29 00:00:00,24.00,0.00,32.00,22.00,5.00
2022-06-29 01:00:00,23.00,0.00,49.00,22.00,3.00
2022-06-29 02:00:00,23.00,0.00,1.00,22.00,5.00
2022-06-29 03:00:00,24.00,0.00,149.00,22.00,6.00
2022-06-29 04:00:00,27.00,5.00,197.00,22.00,1.00
2022-06-29 05:00:00,28.00,6.00,226.00,22.00,0.00
2022-06-29 06:00:00,28.00,6.00,247.00,21.00,0.00
2022-06-29 07:00:00,28.00,6.00,205.00,21.00,0.00
2022-06-29 08:00:00,28.00,6.00,225.00,21.00,0.00
2022-06-29 09:00:00,27.00,6.00,240.00,21.00,0.00
2022-06-29 10:00:00,27.00,6.00,233.00,21.00,0.00
2022-06-29 11:00:00,27.00,5.00,156.00,21.00,0.00
2022-06-29 12:00:00,,,,,
2022-06-29 13:00:00,28.00,6.00,157.00,21.00,0.00
2022-06-29 14:00:00,28.00,6.00,295.00,21.00,0.00
2022-06-29 15:00:00,27.00,6.00,344.00,21.00,6.00
2022-06-29 16:00:00,26.00,6.00,551.00,21.00,5.00
2022-06-29 17:00:00,26.00,6.00,569.00,21.00,0.00
2022-06-29 18:00:00,26.00,6.00,570.00,21.00,0.00
2022-06-29 19:00:00,25.00,6.00,479.00,21.00,3.00
2022-06-29 20:00:00,24.00,6.00,475.00,22.00,4.00
2022-06-29 21:00:00,23.00,2.00,166.00,22.00,4.00
2022-06-29 22:00:00,23.00,0.00,1.00,22.00,3.00
2022-06-29 23:00:00,23.00,0.00,0.00,22.00,3.00
2022-06-30 00:00:00,,,,,
2022-06-30 01:00:00,23.00,0.00,0.00,22.00,4.00
2022-06-30 02:00:00,23.00,0.00,6.00,22.00,3.00
2022-06-30 03:00:00,25.00,0.00,144.00,22.00,3.00
2022-06-30 04:00:00,27.00,5.00,199.00,22.00,1.00
2022-06-30 05:00:00,28.00,6.00,200.00,21.00,1.00
2022-06-30 06:00:00,28.00,6.00,288.00,21.00,0.00
2022-06-30 07:00:00,28.00,6.00,202.00,21.00,0.00
2022-06-30 08:00:00,28.00,6.00,205.00,21.00,2.00
2022-06-30 09:00:00,28.00,6.00,210.00,21.00,1.00
2022-06-30 10:00:00,28.00,6.00,210.00,21.00,0.00
2022-06-30 11:00:00,28.00,6.00,197.00,21.00,1.00
2022-06-30 12:00:00,28.00,6.00,199.00,21.00,0.00
2022-06-30 13:00:00,,,,,
2022-06-30 14:00:00,28.00,6.00,333.00,21.00,0.00
2022-06-30 15:00:00,27.00,6.00,472.00,21.00,1.00
2022-06-30 16:00:00,26.00,6.00,663.00,21.00,0.00
2022-06-30 17:00:00,26.00,6.00,734.00,21.00,2.00
2022-06-30 18:00:00,25.00,6.00,669.00,21.00,3.00
2022-06-30 19:00:00,24.00,6.00,526.00,21.00,7.00
2022-06-30 20:00:00,22.00,6.00,338.00,21.00,13.00
2022-06-30 21:00:00,23.00,2.00,151.00,22.00,17.00
2022-06-30 22:00:00,22.00,0.00,0.00,22.00,21.00
2022-06-30 23:00:00,21.00,0.00,0.00,21.00,16.00
2022-07-01 00:00:00,18.00,0.00,0.00,21.00,11.00
2022-07-01 01:00:00,18.00,0.00,0.00,21.00,7.00
2022-07-01 02:00:00,18.00,0.00,3.00,21.00,5.00
2022-07-01 03:00:00,18.00,0.00,92.00,21.00,5.00
2022-07-01 04:00:00,18.00,5.00,292.00,21.00,10.00
2022-07-01 05:00:00,18.00,6.00,402.00,21.00,12.00
2022-07-01 06:00:00,18.00,6.00,464.00,21.00,19.00
2022-07-01 07:00:00,18.00,6.00,526.00,21.00,17.00
2022-07-01 08:00:00,17.00,6.00,440.00,21.00,7.00
2022-07-01 09:00:00,17.00,5.00,456.00,21.00,7.00
