,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2022-06-28 03:00:00,0.00,6543.00,3110.50,0.00,469.50,18.00,1.00,48.00,212.50,165.00
2022-06-28 04:00:00,0.00,7011.50,3128.75,0.00,470.50,31.00,4.00,47.50,174.50,160.75
2022-06-28 05:00:00,0.00,7156.00,3127.00,0.00,470.50,32.25,16.00,48.00,194.00,128.25
2022-06-28 06:00:00,0.00,6950.25,3120.25,0.00,470.00,4.50,39.50,48.25,215.25,96.00
2022-06-28 07:00:00,0.00,6157.25,3122.00,0.00,471.75,28.00,61.25,47.00,173.75,54.75
2022-06-28 08:00:00,0.00,3857.50,3132.50,0.00,472.75,0.25,69.50,44.50,152.50,36.00
2022-06-28 09:00:00,0.00,2198.25,3111.00,0.00,469.75,-23.50,89.00,46.50,138.50,28.00
2022-06-28 10:00:00,0.00,2109.75,2993.25,0.00,469.00,-14.25,98.25,45.00,104.25,48.75
2022-06-28 11:00:00,0.00,2171.75,2849.25,0.00,469.50,15.75,81.75,45.00,60.00,65.50
2022-06-28 12:00:00,0.00,2175.50,2915.00,0.00,469.50,24.00,83.50,45.25,18.75,49.75
2022-06-28 13:00:00,0.00,2385.25,2926.50,0.00,470.00,58.75,95.75,44.75,-5.50,28.25
2022-06-28 14:00:00,0.00,4148.50,3040.25,0.00,469.75,179.75,91.25,45.00,-6.00,26.25
2022-06-28 15:00:00,0.00,6583.75,3110.50,0.00,469.75,386.25,71.50,43.25,-1.75,7.00
2022-06-28 16:00:00,0.00,7363.75,3119.00,0.00,469.25,516.75,62.25,45.25,45.25,10.75
2022-06-28 17:00:00,0.00,7809.25,3159.75,0.00,469.25,563.00,24.00,46.00,67.75,17.00
2022-06-28 18:00:00,0.00,7739.25,3152.50,0.00,469.00,542.50,8.50,46.25,102.25,19.75
2022-06-28 19:00:00,0.00,7783.75,3129.50,0.00,467.75,528.50,2.50,47.00,141.25,73.50
2022-06-28 20:00:00,0.00,7818.50,3150.75,0.00,469.00,515.25,1.00,46.50,135.75,148.00
2022-06-28 21:00:00,0.00,7671.00,3141.75,0.00,468.75,522.50,1.00,46.00,240.25,219.75
