,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2022-06-28 04:00:00,223.00,4578.00,58.00,1010.00,8852.00,202.00,0.00,105.00,0.00,775.00,2415.00
2022-06-28 05:00:00,225.00,4710.00,58.00,1029.00,9861.00,204.00,0.00,105.00,0.00,1620.00,2100.00
2022-06-28 06:00:00,226.00,4661.00,58.00,1077.00,10109.00,205.00,181.00,105.00,0.00,2634.00,1677.00
2022-06-28 07:00:00,224.00,4636.00,62.00,1151.00,10157.00,205.00,152.00,104.00,0.00,3268.00,1494.00
2022-06-28 08:00:00,226.00,4648.00,63.00,1152.00,9878.00,206.00,0.00,106.00,0.00,3612.00,1321.00
2022-06-28 09:00:00,228.00,4644.00,63.00,1331.00,9989.00,207.00,0.00,106.00,0.00,3651.00,1234.00
2022-06-28 10:00:00,226.00,4819.00,59.00,1293.00,9896.00,205.00,40.00,105.00,0.00,3420.00,1313.00
2022-06-28 11:00:00,225.00,4707.00,55.00,1331.00,9786.00,206.00,370.00,104.00,0.00,3160.00,1412.00
2022-06-28 12:00:00,226.00,4658.00,49.00,1235.00,10085.00,208.00,85.00,104.00,0.00,3050.00,1341.00
2022-06-28 13:00:00,226.00,4674.00,46.00,1304.00,10158.00,208.00,0.00,104.00,0.00,2730.00,1422.00
2022-06-28 14:00:00,226.00,4574.00,54.00,1395.00,10244.00,209.00,0.00,104.00,0.00,2420.00,1540.00
2022-06-28 15:00:00,228.00,4627.00,62.00,1376.00,10400.00,207.00,0.00,104.00,0.00,1725.00,1379.00
2022-06-28 16:00:00,235.00,4663.00,61.00,1587.00,10508.00,205.00,0.00,115.00,0.00,979.00,939.00
2022-06-28 17:00:00,238.00,4661.00,60.00,1691.00,11026.00,204.00,489.00,153.00,46.00,540.00,676.00
2022-06-28 18:00:00,238.00,4578.00,61.00,1697.00,11075.00,205.00,428.00,167.00,53.00,167.00,601.00
