,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore
2022-06-28 04:00:00,372.00,2658.00,0.00,256.00,77.00,68.00,12.00,0.00,18.00,1042.00
2022-06-28 05:00:00,371.00,2602.00,0.00,820.00,140.00,70.00,11.00,22.00,12.00,975.00
2022-06-28 06:00:00,368.00,2587.00,0.00,778.00,59.00,70.00,11.00,186.00,9.00,855.00
2022-06-28 07:00:00,364.00,2537.00,0.00,12.00,31.00,48.00,11.00,503.00,8.00,701.00
2022-06-28 08:00:00,367.00,2480.00,0.00,-6.00,30.00,42.00,11.00,792.00,8.00,558.00
2022-06-28 09:00:00,366.00,2404.00,0.00,-259.00,124.00,3.00,11.00,1002.00,6.00,466.00
2022-06-28 10:00:00,367.00,2467.00,0.00,-211.00,133.00,3.00,11.00,1138.00,6.00,430.00
2022-06-28 11:00:00,371.00,2239.00,0.00,-136.00,116.00,3.00,11.00,1178.00,8.00,529.00
2022-06-28 12:00:00,375.00,2157.00,0.00,-452.00,207.00,3.00,11.00,1207.00,6.00,771.00
2022-06-28 13:00:00,377.00,1992.00,0.00,-456.00,34.00,3.00,12.00,1182.00,5.00,1085.00
2022-06-28 14:00:00,378.00,2002.00,0.00,-681.00,34.00,12.00,11.00,1121.00,5.00,1436.00
2022-06-28 15:00:00,376.00,2015.00,0.00,-765.00,33.00,7.00,11.00,992.00,5.00,1736.00
2022-06-28 16:00:00,373.00,2259.00,0.00,-741.00,23.00,3.00,11.00,802.00,7.00,1996.00
2022-06-28 17:00:00,374.00,2522.00,0.00,-234.00,26.00,4.00,12.00,539.00,3.00,2267.00
2022-06-28 18:00:00,370.00,2549.00,0.00,306.00,167.00,64.00,11.00,226.00,2.00,2455.00
2022-06-28 19:00:00,375.00,2611.00,0.00,662.00,364.00,146.00,11.00,36.00,2.00,2410.00
2022-06-28 20:00:00,374.00,2650.00,0.00,610.00,426.00,93.00,11.00,0.00,1.00,2338.00
2022-06-28 21:00:00,367.00,2483.00,0.00,197.00,63.00,78.00,11.00,0.00,1.00,2387.00
2022-06-28 22:00:00,371.00,2433.00,0.00,545.00,176.00,21.00,11.00,0.00,1.00,2422.00
2022-06-28 23:00:00,370.00,2207.00,0.00,297.00,131.00,22.00,11.00,0.00,0.00,2390.00
2022-06-29 00:00:00,368.00,2422.00,0.00,142.00,140.00,30.00,11.00,0.00,2.00,2292.00
2022-06-29 01:00:00,367.00,2222.00,0.00,110.00,33.00,35.00,11.00,0.00,10.00,2255.00
2022-06-29 02:00:00,367.00,2490.00,0.00,230.00,23.00,39.00,11.00,0.00,9.00,2157.00
2022-06-29 03:00:00,369.00,2488.00,0.00,461.00,25.00,73.00,12.00,0.00,10.00,2096.00
2022-06-29 04:00:00,368.00,2689.00,0.00,645.00,337.00,156.00,11.00,0.00,14.00,2110.00
2022-06-29 05:00:00,370.00,2713.00,0.00,995.00,527.00,199.00,11.00,19.00,11.00,1924.00
2022-06-29 06:00:00,366.00,2715.00,0.00,927.00,496.00,152.00,11.00,169.00,11.00,1703.00
2022-06-29 07:00:00,372.00,2647.00,0.00,693.00,30.00,48.00,11.00,438.00,10.00,1568.00
2022-06-29 08:00:00,376.00,2622.00,0.00,73.00,39.00,45.00,11.00,692.00,11.00,1369.00
2022-06-29 09:00:00,373.00,2496.00,0.00,-83.00,41.00,11.00,11.00,901.00,6.00,1280.00
2022-06-29 10:00:00,356.00,2547.00,0.00,4.00,44.00,3.00,11.00,1061.00,9.00,1210.00
2022-06-29 11:00:00,357.00,2418.00,0.00,-23.00,38.00,3.00,11.00,1167.00,11.00,1326.00
2022-06-29 12:00:00,369.00,2198.00,0.00,-486.00,33.00,10.00,11.00,1208.00,11.00,1628.00
2022-06-29 13:00:00,379.00,2139.00,0.00,-994.00,34.00,9.00,11.00,1188.00,13.00,1941.00
2022-06-29 14:00:00,401.00,2224.00,0.00,-1177.00,28.00,3.00,12.00,1124.00,17.00,2234.00
2022-06-29 15:00:00,404.00,2237.00,0.00,-1679.00,22.00,3.00,14.00,1009.00,21.00,2582.00
2022-06-29 16:00:00,405.00,2196.00,0.00,-1597.00,20.00,7.00,13.00,814.00,25.00,2889.00
2022-06-29 17:00:00,402.00,2348.00,0.00,-1119.00,20.00,9.00,11.00,541.00,25.00,3057.00
2022-06-29 18:00:00,402.00,2482.00,0.00,-569.00,32.00,5.00,11.00,226.00,25.00,2981.00
2022-06-29 19:00:00,403.00,2535.00,0.00,32.00,217.00,108.00,11.00,33.00,25.00,2861.00
2022-06-29 20:00:00,408.00,2462.00,0.00,419.00,292.00,69.00,11.00,0.00,25.00,2890.00
2022-06-29 21:00:00,404.00,2689.00,0.00,-83.00,27.00,65.00,11.00,0.00,25.00,2892.00
2022-06-29 22:00:00,407.00,2649.00,0.00,155.00,18.00,3.00,11.00,0.00,25.00,2874.00
2022-06-29 23:00:00,407.00,2404.00,0.00,12.00,20.00,3.00,11.00,0.00,25.00,2933.00
2022-06-30 00:00:00,406.00,2323.00,0.00,-3.00,18.00,3.00,11.00,0.00,25.00,2933.00
2022-06-30 01:00:00,406.00,2206.00,0.00,97.00,19.00,3.00,11.00,0.00,20.00,3014.00
2022-06-30 02:00:00,404.00,2148.00,0.00,-3.00,23.00,3.00,11.00,0.00,17.00,2991.00
2022-06-30 03:00:00,405.00,2058.00,0.00,84.00,187.00,32.00,11.00,0.00,11.00,3004.00
2022-06-30 04:00:00,408.00,2321.00,0.00,804.00,315.00,35.00,11.00,0.00,7.00,2949.00
2022-06-30 05:00:00,397.00,2320.00,0.00,1261.00,634.00,37.00,11.00,19.00,11.00,2815.00
2022-06-30 06:00:00,396.00,2337.00,0.00,429.00,325.00,33.00,11.00,178.00,9.00,2605.00
2022-06-30 07:00:00,396.00,2304.00,0.00,601.00,104.00,13.00,11.00,492.00,10.00,2282.00
2022-06-30 08:00:00,397.00,2246.00,0.00,228.00,100.00,40.00,11.00,789.00,7.00,1929.00
2022-06-30 09:00:00,405.00,1962.00,0.00,69.00,28.00,3.00,11.00,1000.00,6.00,1541.00
2022-06-30 10:00:00,401.00,1839.00,0.00,131.00,27.00,3.00,11.00,1135.00,7.00,1398.00
2022-06-30 11:00:00,400.00,1704.00,0.00,-102.00,30.00,3.00,13.00,1174.00,7.00,1448.00
2022-06-30 12:00:00,403.00,1675.00,0.00,-701.00,27.00,3.00,14.00,1189.00,9.00,1620.00
2022-06-30 13:00:00,401.00,1730.00,0.00,-761.00,25.00,3.00,14.00,1129.00,10.00,1694.00
2022-06-30 14:00:00,402.00,1700.00,0.00,-577.00,22.00,4.00,12.00,1089.00,10.00,1831.00
2022-06-30 15:00:00,401.00,1772.00,0.00,-345.00,21.00,8.00,11.00,924.00,13.00,1938.00
2022-06-30 16:00:00,406.00,1693.00,0.00,-51.00,24.00,8.00,13.00,764.00,14.00,2079.00
2022-06-30 17:00:00,402.00,1994.00,0.00,-225.00,24.00,4.00,13.00,533.00,15.00,2203.00
2022-06-30 18:00:00,402.00,2257.00,0.00,151.00,75.00,69.00,11.00,234.00,13.00,2202.00
2022-06-30 19:00:00,407.00,2343.00,0.00,1178.00,541.00,81.00,12.00,42.00,11.00,2118.00
2022-06-30 20:00:00,411.00,2354.00,0.00,875.00,596.00,108.00,16.00,0.00,11.00,2055.00
2022-06-30 21:00:00,407.00,2323.00,0.00,327.00,304.00,62.00,18.00,0.00,13.00,2126.00
2022-06-30 22:00:00,395.00,2314.00,0.00,180.00,494.00,34.00,17.00,0.00,11.00,2167.00
2022-06-30 23:00:00,389.00,2063.00,0.00,409.00,205.00,34.00,17.00,0.00,10.00,2020.00
2022-07-01 00:00:00,388.00,2103.00,0.00,63.00,21.00,3.00,17.00,0.00,8.00,1815.00
2022-07-01 01:00:00,384.00,2062.00,0.00,34.00,23.00,35.00,16.00,0.00,5.00,1743.00
2022-07-01 02:00:00,388.00,2028.00,0.00,-78.00,28.00,3.00,16.00,0.00,5.00,1868.00
2022-07-01 03:00:00,388.00,2080.00,0.00,79.00,30.00,3.00,14.00,0.00,4.00,1885.00
2022-07-01 04:00:00,389.00,2218.00,0.00,-10.00,280.00,3.00,13.00,0.00,3.00,1859.00
2022-07-01 05:00:00,390.00,2353.00,0.00,365.00,428.00,33.00,12.00,18.00,3.00,1779.00
2022-07-01 06:00:00,389.00,2382.00,0.00,21.00,421.00,33.00,12.00,168.00,2.00,1524.00
2022-07-01 07:00:00,384.00,2316.00,0.00,-51.00,35.00,42.00,12.00,474.00,2.00,1007.00
2022-07-01 08:00:00,393.00,2265.00,0.00,212.00,105.00,46.00,18.00,765.00,2.00,625.00
2022-07-01 09:00:00,403.00,2194.00,0.00,278.00,49.00,41.00,20.00,977.00,2.00,448.00
2022-07-01 10:00:00,400.00,2164.00,0.00,922.00,206.00,32.00,19.00,1112.00,4.00,334.00
2022-07-01 11:00:00,408.00,2052.00,0.00,759.00,236.00,34.00,19.00,1169.00,8.00,346.00
2022-07-01 12:00:00,409.00,2061.00,0.00,206.00,166.00,34.00,20.00,1181.00,9.00,394.00
2022-07-01 13:00:00,404.00,1988.00,0.00,115.00,120.00,3.00,21.00,1165.00,9.00,479.00
