,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2022-06-28 03:00:00,38.00,1498.00,1319.00,0.00,424.50,1277.00,689.50,31.00,927.50
2022-06-28 04:00:00,41.50,1526.75,1323.75,0.00,814.00,1254.75,689.25,79.75,764.00
2022-06-28 05:00:00,42.25,1678.50,1338.00,0.00,845.25,1129.50,709.75,206.25,661.00
2022-06-28 06:00:00,41.75,1626.00,1295.25,0.00,821.00,1176.50,724.50,353.50,638.00
2022-06-28 07:00:00,41.00,1670.00,1292.75,0.00,799.50,1227.25,822.00,437.00,619.75
2022-06-28 08:00:00,41.50,1599.75,1295.75,0.00,550.25,1405.75,899.50,510.75,889.50
2022-06-28 09:00:00,41.50,1513.25,1280.00,0.00,529.00,1352.50,947.50,562.50,1046.50
2022-06-28 10:00:00,39.75,1566.00,1269.50,0.00,641.25,1364.50,987.50,560.00,807.25
2022-06-28 11:00:00,41.00,1721.50,1315.00,0.00,524.00,1691.25,988.00,526.25,507.50
2022-06-28 12:00:00,41.50,1699.50,1320.00,0.00,502.50,1727.50,990.50,506.00,427.75
2022-06-28 13:00:00,41.00,1709.50,1320.50,0.00,632.25,1690.25,990.75,446.75,332.75
2022-06-28 14:00:00,42.50,1712.75,1321.50,0.00,717.50,1635.00,990.00,358.50,299.25
2022-06-28 15:00:00,43.75,1668.50,1325.50,0.00,875.75,1465.00,990.25,219.50,377.75
2022-06-28 16:00:00,42.75,1725.50,1332.75,0.00,906.00,1308.75,989.25,89.50,317.00
2022-06-28 17:00:00,42.25,1730.75,1347.75,0.00,874.50,1329.75,990.00,13.50,323.25
2022-06-28 18:00:00,41.75,1728.25,1359.25,0.00,878.50,1311.75,990.25,0.00,225.75
2022-06-28 19:00:00,42.00,1733.75,1349.25,0.00,903.50,1222.00,1028.00,0.00,187.75
2022-06-28 20:00:00,41.75,1729.75,1341.25,0.00,883.75,797.25,1101.00,0.00,67.00
2022-06-28 21:00:00,40.00,1721.75,1343.00,0.00,788.50,878.50,1157.50,0.00,18.75
2022-06-28 22:00:00,37.50,1707.00,1347.25,0.00,745.50,875.00,1194.50,0.00,8.25
2022-06-28 23:00:00,37.00,1692.50,1349.00,0.00,609.00,1004.50,1200.00,0.00,51.00
2022-06-29 00:00:00,36.75,1635.00,1271.25,0.00,605.75,944.00,1210.50,3.25,355.75
2022-06-29 01:00:00,37.00,1579.50,991.25,0.00,635.75,890.75,1257.00,0.00,735.50
2022-06-29 02:00:00,36.00,1357.50,999.50,0.00,710.25,853.50,1310.50,0.00,868.00
2022-06-29 03:00:00,38.75,1340.25,1000.75,0.00,716.50,837.25,1338.25,10.00,976.50
2022-06-29 04:00:00,42.75,1495.75,1006.00,0.00,862.00,1114.50,1334.25,91.25,848.75
2022-06-29 05:00:00,43.00,1707.00,1063.25,0.00,801.50,1216.75,1334.50,259.25,523.50
2022-06-29 06:00:00,44.00,1713.00,1193.00,0.00,759.00,1258.75,1333.50,428.00,415.50
2022-06-29 07:00:00,43.75,1669.75,1170.25,0.00,758.25,1204.00,1245.50,573.75,499.50
2022-06-29 08:00:00,43.00,1726.50,1148.50,0.00,752.25,1202.75,1320.00,683.00,586.50
2022-06-29 09:00:00,42.50,1733.00,1284.25,0.00,737.50,1249.50,1328.00,728.50,516.50
2022-06-29 10:00:00,42.50,1722.75,1299.75,0.50,715.75,1429.50,1332.00,725.50,494.50
2022-06-29 11:00:00,48.67,1680.67,1290.33,49.00,689.67,1438.00,1332.00,699.00,516.33
2022-06-29 12:00:00,51.00,1669.25,1284.00,98.75,626.00,1442.25,1331.50,644.25,535.25
2022-06-29 13:00:00,50.00,1762.75,1275.75,112.75,630.75,1495.00,1333.75,552.00,383.75
2022-06-29 14:00:00,50.75,1760.00,1302.50,115.00,712.75,1437.75,1332.50,414.75,353.25
2022-06-29 15:00:00,51.25,1675.00,1313.25,115.00,817.00,1403.25,1332.25,255.75,203.75
2022-06-29 16:00:00,52.00,1662.00,1317.75,115.50,833.00,1462.25,1332.00,107.25,76.75
2022-06-29 17:00:00,52.50,1712.75,1322.75,115.00,641.50,1620.00,1333.00,17.00,29.00
2022-06-29 18:00:00,51.50,1709.75,1328.50,115.00,647.75,1579.50,1332.75,0.00,26.25
2022-06-29 19:00:00,51.75,1723.50,1337.00,115.25,696.50,1448.75,1333.00,0.00,29.50
2022-06-29 20:00:00,50.75,1683.00,1341.50,115.50,643.25,1199.50,1333.00,0.00,55.25
2022-06-29 21:00:00,50.00,1702.00,1322.00,115.25,590.00,1143.50,1333.25,0.00,63.00
2022-06-29 22:00:00,49.75,1700.25,1329.25,116.00,597.00,1131.50,1333.25,0.00,39.50
2022-06-29 23:00:00,51.00,1702.00,1334.75,115.50,646.75,1083.75,1332.75,0.00,34.00
2022-06-30 00:00:00,51.75,1728.50,1337.00,116.00,645.25,1083.75,1335.75,0.00,31.25
2022-06-30 01:00:00,50.50,1733.50,1338.25,115.50,644.00,1056.50,1341.50,0.00,30.75
2022-06-30 02:00:00,49.75,1727.25,1351.25,116.00,644.50,1072.25,1341.75,0.00,28.25
2022-06-30 03:00:00,49.25,1760.00,1350.25,115.75,648.75,1040.00,1342.00,17.50,23.25
