,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore
2022-06-28 04:00:00,0.00,7581.00,5104.00,440.00,47.00,2269.00
2022-06-28 05:00:00,0.00,7983.00,5099.00,461.00,112.00,1894.00
2022-06-28 06:00:00,0.00,8147.00,5092.00,481.00,189.00,1849.00
2022-06-28 07:00:00,0.00,7865.00,5095.00,498.00,276.00,2271.00
2022-06-28 08:00:00,0.00,7359.00,5090.00,486.00,380.00,2728.00
2022-06-28 09:00:00,0.00,6984.00,5094.00,498.00,476.00,3060.00
2022-06-28 10:00:00,0.00,6798.00,5084.00,505.00,531.00,3345.00
2022-06-28 11:00:00,0.00,6582.00,5084.00,507.00,551.00,3597.00
2022-06-28 12:00:00,0.00,6366.00,5089.00,509.00,547.00,3945.00
2022-06-28 13:00:00,0.00,6444.00,5090.00,521.00,500.00,4116.00
2022-06-28 14:00:00,0.00,6235.00,5090.00,551.00,416.00,4121.00
2022-06-28 15:00:00,0.00,6368.00,5090.00,708.00,304.00,3870.00
2022-06-28 16:00:00,0.00,6553.00,5092.00,741.00,186.00,3467.00
2022-06-28 17:00:00,0.00,7031.00,5091.00,739.00,87.00,3084.00
2022-06-28 18:00:00,0.00,6931.00,5089.00,726.00,25.00,2833.00
2022-06-28 19:00:00,0.00,7025.00,5090.00,708.00,3.00,2637.00
2022-06-28 20:00:00,0.00,6913.00,5089.00,704.00,0.00,2661.00
2022-06-28 21:00:00,0.00,6876.00,5093.00,706.00,0.00,2793.00
2022-06-28 22:00:00,0.00,6450.00,5094.00,487.00,0.00,2650.00
2022-06-28 23:00:00,0.00,6229.00,5094.00,388.00,0.00,2530.00
2022-06-29 00:00:00,0.00,6215.00,5098.00,386.00,0.00,2392.00
2022-06-29 01:00:00,0.00,6439.00,5109.00,383.00,0.00,2155.00
2022-06-29 02:00:00,0.00,6664.00,5121.00,374.00,2.00,1928.00
2022-06-29 03:00:00,0.00,7690.00,5125.00,394.00,16.00,1619.00
2022-06-29 04:00:00,0.00,8134.00,5127.00,409.00,70.00,1229.00
2022-06-29 05:00:00,0.00,8615.00,5128.00,431.00,162.00,938.00
2022-06-29 06:00:00,0.00,8811.00,5128.00,462.00,285.00,790.00
