,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
2022-06-28 04:00:00,8.00,384.00,26.00,0.00,0.00,114.00,659.00,15.00,11.00,0.00
2022-06-28 05:00:00,8.00,492.00,26.00,0.00,0.00,253.00,659.00,34.00,10.00,1.00
2022-06-28 06:00:00,8.00,528.00,25.00,0.00,0.00,417.00,656.00,55.00,12.00,1.00
2022-06-28 07:00:00,8.00,536.00,25.00,0.00,0.00,332.00,655.00,68.00,13.00,1.00
2022-06-28 08:00:00,8.00,535.00,26.00,0.00,0.00,227.00,653.00,79.00,12.00,2.00
2022-06-28 09:00:00,8.00,533.00,26.00,0.00,0.00,233.00,653.00,88.00,11.00,1.00
2022-06-28 10:00:00,8.00,530.00,28.00,0.00,0.00,237.00,653.00,98.00,11.00,1.00
2022-06-28 11:00:00,8.00,531.00,24.00,0.00,0.00,368.00,652.00,101.00,11.00,1.00
2022-06-28 12:00:00,8.00,537.00,23.00,0.00,1.00,280.00,652.00,103.00,11.00,0.00
2022-06-28 13:00:00,8.00,537.00,29.00,0.00,171.00,283.00,652.00,88.00,11.00,1.00
2022-06-28 14:00:00,8.00,537.00,71.00,0.00,175.00,461.00,652.00,74.00,11.00,1.00
2022-06-28 15:00:00,8.00,536.00,72.00,0.00,175.00,351.00,652.00,50.00,11.00,0.00
2022-06-28 16:00:00,8.00,533.00,72.00,0.00,174.00,460.00,652.00,27.00,10.00,1.00
2022-06-28 17:00:00,8.00,536.00,72.00,0.00,174.00,532.00,651.00,12.00,10.00,1.00
2022-06-28 18:00:00,8.00,538.00,75.00,0.00,173.00,549.00,651.00,2.00,11.00,1.00
2022-06-28 19:00:00,8.00,532.00,42.00,0.00,151.00,382.00,652.00,0.00,12.00,1.00
2022-06-28 20:00:00,8.00,517.00,27.00,0.00,0.00,324.00,652.00,0.00,12.00,1.00
2022-06-28 21:00:00,8.00,492.00,27.00,0.00,0.00,217.00,652.00,0.00,11.00,1.00
2022-06-28 22:00:00,8.00,373.00,24.00,0.00,0.00,146.00,652.00,0.00,10.00,0.00
2022-06-28 23:00:00,8.00,295.00,25.00,0.00,0.00,78.00,653.00,0.00,10.00,1.00
2022-06-29 00:00:00,8.00,290.00,24.00,0.00,0.00,74.00,654.00,0.00,10.00,1.00
2022-06-29 01:00:00,8.00,295.00,25.00,0.00,0.00,75.00,655.00,0.00,10.00,0.00
2022-06-29 02:00:00,8.00,293.00,25.00,0.00,0.00,171.00,654.00,0.00,10.00,0.00
2022-06-29 03:00:00,8.00,293.00,27.00,0.00,0.00,175.00,654.00,2.00,10.00,0.00
2022-06-29 04:00:00,8.00,307.00,27.00,0.00,0.00,324.00,654.00,9.00,10.00,0.00
2022-06-29 05:00:00,8.00,392.00,27.00,0.00,0.00,572.00,653.00,16.00,10.00,1.00
2022-06-29 06:00:00,8.00,518.00,26.00,0.00,0.00,626.00,653.00,32.00,11.00,1.00
2022-06-29 07:00:00,8.00,536.00,27.00,0.00,0.00,561.00,652.00,62.00,11.00,0.00
2022-06-29 08:00:00,8.00,500.00,28.00,0.00,0.00,424.00,652.00,93.00,10.00,0.00
2022-06-29 09:00:00,8.00,454.00,28.00,0.00,0.00,392.00,651.00,114.00,11.00,0.00
2022-06-29 10:00:00,8.00,452.00,28.00,0.00,0.00,354.00,650.00,119.00,11.00,0.00
2022-06-29 11:00:00,8.00,399.00,26.00,0.00,0.00,408.00,649.00,105.00,10.00,0.00
2022-06-29 12:00:00,8.00,393.00,25.00,0.00,0.00,440.00,649.00,89.00,11.00,0.00
2022-06-29 13:00:00,8.00,393.00,24.00,0.00,0.00,418.00,649.00,95.00,11.00,0.00
2022-06-29 14:00:00,8.00,394.00,25.00,0.00,0.00,495.00,649.00,79.00,11.00,0.00
2022-06-29 15:00:00,8.00,483.00,25.00,0.00,0.00,465.00,648.00,53.00,10.00,0.00
2022-06-29 16:00:00,8.00,521.00,25.00,0.00,0.00,648.00,648.00,27.00,10.00,0.00
2022-06-29 17:00:00,8.00,522.00,25.00,0.00,167.00,622.00,648.00,11.00,11.00,0.00
2022-06-29 18:00:00,8.00,522.00,28.00,0.00,170.00,587.00,649.00,2.00,11.00,0.00
2022-06-29 19:00:00,8.00,498.00,28.00,0.00,155.00,552.00,649.00,0.00,11.00,0.00
2022-06-29 20:00:00,8.00,415.00,29.00,0.00,0.00,488.00,650.00,0.00,11.00,0.00
2022-06-29 21:00:00,8.00,311.00,28.00,0.00,0.00,489.00,651.00,0.00,10.00,0.00
2022-06-29 22:00:00,8.00,246.00,25.00,0.00,0.00,481.00,652.00,0.00,10.00,0.00
2022-06-29 23:00:00,8.00,253.00,25.00,0.00,0.00,420.00,652.00,0.00,10.00,0.00
2022-06-30 00:00:00,8.00,253.00,23.00,0.00,0.00,355.00,653.00,0.00,10.00,0.00
2022-06-30 01:00:00,8.00,254.00,26.00,0.00,0.00,354.00,653.00,0.00,10.00,0.00
2022-06-30 02:00:00,8.00,254.00,26.00,0.00,0.00,349.00,654.00,0.00,10.00,0.00
2022-06-30 03:00:00,8.00,302.00,28.00,0.00,0.00,303.00,654.00,1.00,10.00,0.00
2022-06-30 04:00:00,8.00,387.00,29.00,0.00,0.00,467.00,654.00,10.00,10.00,0.00
2022-06-30 05:00:00,8.00,488.00,29.00,0.00,0.00,572.00,654.00,37.00,11.00,0.00
2022-06-30 06:00:00,8.00,530.00,27.00,0.00,0.00,590.00,653.00,79.00,11.00,0.00
2022-06-30 07:00:00,8.00,536.00,25.00,0.00,0.00,621.00,653.00,128.00,11.00,0.00
2022-06-30 08:00:00,8.00,536.00,27.00,0.00,0.00,578.00,653.00,158.00,11.00,0.00
2022-06-30 09:00:00,8.00,535.00,27.00,0.00,0.00,598.00,653.00,181.00,10.00,0.00
2022-06-30 10:00:00,8.00,536.00,28.00,0.00,0.00,581.00,653.00,176.00,11.00,0.00
2022-06-30 11:00:00,8.00,536.00,24.00,0.00,0.00,560.00,653.00,151.00,10.00,0.00
2022-06-30 12:00:00,8.00,536.00,24.00,0.00,0.00,442.00,653.00,126.00,11.00,0.00
2022-06-30 13:00:00,8.00,537.00,24.00,0.00,1.00,415.00,653.00,118.00,11.00,0.00
2022-06-30 14:00:00,8.00,536.00,41.00,0.00,158.00,347.00,653.00,92.00,10.00,0.00
2022-06-30 15:00:00,8.00,537.00,71.00,0.00,167.00,368.00,652.00,58.00,10.00,0.00
2022-06-30 16:00:00,8.00,536.00,73.00,0.00,167.00,562.00,652.00,35.00,11.00,0.00
2022-06-30 17:00:00,8.00,536.00,73.00,0.00,171.00,630.00,652.00,15.00,10.00,0.00
2022-06-30 18:00:00,8.00,536.00,79.00,0.00,170.00,591.00,653.00,2.00,11.00,0.00
2022-06-30 19:00:00,8.00,536.00,74.00,0.00,104.00,493.00,654.00,0.00,11.00,0.00
2022-06-30 20:00:00,8.00,499.00,33.00,0.00,0.00,438.00,654.00,0.00,11.00,0.00
