,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
2022-06-28 04:00:00,51.00,88.00,129.00,0.00,60.00,0.00,253.00,16.00,1437.00,116.00,47.00,26.00,0.00
2022-06-28 05:00:00,53.00,88.00,139.00,0.00,60.00,0.00,358.00,28.00,1437.00,121.00,47.00,64.00,0.00
2022-06-28 06:00:00,53.00,87.00,137.00,0.00,61.00,0.00,365.00,28.00,1436.00,102.00,48.00,116.00,0.00
2022-06-28 07:00:00,52.00,86.00,125.00,0.00,61.00,0.00,338.00,24.00,1435.00,115.00,48.00,175.00,0.00
2022-06-28 08:00:00,51.00,82.00,134.00,0.00,63.00,0.00,324.00,7.00,1434.00,107.00,48.00,229.00,0.00
2022-06-28 09:00:00,50.00,81.00,128.00,0.00,63.00,0.00,283.00,54.00,1430.00,104.00,47.00,250.00,0.00
2022-06-28 10:00:00,49.00,81.00,130.00,0.00,64.00,0.00,271.00,49.00,1424.00,66.00,45.00,269.00,0.00
2022-06-28 11:00:00,49.00,81.00,120.00,0.00,70.00,0.00,263.00,49.00,1418.00,78.00,46.00,275.00,0.00
2022-06-28 12:00:00,49.00,81.00,120.00,0.00,63.00,0.00,266.00,48.00,1416.00,103.00,49.00,248.00,0.00
2022-06-28 13:00:00,48.00,81.00,119.00,0.00,62.00,0.00,268.00,49.00,1414.00,103.00,49.00,214.00,0.00
2022-06-28 14:00:00,47.00,81.00,116.00,0.00,61.00,109.00,272.00,36.00,1412.00,104.00,55.00,158.00,0.00
2022-06-28 15:00:00,46.00,81.00,134.00,0.00,63.00,12.00,367.00,30.00,1413.00,107.00,50.00,105.00,0.00
2022-06-28 16:00:00,47.00,85.00,140.00,0.00,63.00,128.00,424.00,30.00,1413.00,105.00,49.00,50.00,0.00
2022-06-28 17:00:00,49.00,86.00,132.00,0.00,59.00,304.00,408.00,43.00,1412.00,103.00,48.00,19.00,0.00
2022-06-28 18:00:00,53.00,86.00,132.00,0.00,60.00,217.00,401.00,49.00,1415.00,102.00,49.00,4.00,0.00
2022-06-28 19:00:00,56.00,86.00,138.00,0.00,61.00,10.00,370.00,59.00,1417.00,100.00,43.00,0.00,0.00
2022-06-28 20:00:00,57.00,111.00,131.00,0.00,61.00,0.00,326.00,23.00,1420.00,99.00,43.00,0.00,0.00
2022-06-28 21:00:00,58.00,138.00,122.00,0.00,61.00,0.00,260.00,12.00,1425.00,107.00,43.00,0.00,0.00
2022-06-28 22:00:00,62.00,162.00,112.00,0.00,64.00,-202.00,213.00,4.00,1428.00,118.00,43.00,0.00,0.00
2022-06-28 23:00:00,70.00,163.00,102.00,0.00,63.00,-206.00,204.00,3.00,1429.00,118.00,43.00,0.00,0.00
2022-06-29 00:00:00,73.00,162.00,104.00,0.00,64.00,-307.00,206.00,3.00,1430.00,121.00,44.00,0.00,0.00
2022-06-29 01:00:00,73.00,162.00,111.00,0.00,64.00,-237.00,208.00,4.00,1328.00,123.00,44.00,0.00,0.00
2022-06-29 02:00:00,71.00,162.00,113.00,0.00,64.00,-146.00,281.00,2.00,1190.00,121.00,45.00,0.00,0.00
2022-06-29 03:00:00,78.00,161.00,115.00,0.00,63.00,-146.00,281.00,3.00,1192.00,118.00,42.00,7.00,0.00
2022-06-29 04:00:00,86.00,162.00,125.00,0.00,64.00,185.00,320.00,38.00,1193.00,116.00,43.00,30.00,0.00
2022-06-29 05:00:00,85.00,161.00,121.00,0.00,64.00,206.00,382.00,76.00,1193.00,117.00,43.00,78.00,0.00
2022-06-29 06:00:00,85.00,156.00,124.00,0.00,64.00,-139.00,396.00,34.00,1190.00,121.00,45.00,141.00,0.00
2022-06-29 07:00:00,88.00,156.00,112.00,0.00,63.00,-3.00,390.00,30.00,1237.00,121.00,44.00,209.00,0.00
2022-06-29 08:00:00,91.00,155.00,109.00,0.00,63.00,-72.00,352.00,0.00,1330.00,121.00,47.00,257.00,0.00
2022-06-29 09:00:00,92.00,156.00,109.00,0.00,63.00,-159.00,301.00,0.00,1407.00,121.00,48.00,281.00,0.00
2022-06-29 10:00:00,94.00,156.00,107.00,0.00,63.00,0.00,306.00,21.00,1410.00,125.00,48.00,286.00,0.00
2022-06-29 11:00:00,93.00,156.00,109.00,0.00,64.00,0.00,314.00,29.00,1407.00,123.00,48.00,272.00,0.00
2022-06-29 12:00:00,91.00,157.00,113.00,0.00,64.00,0.00,303.00,10.00,1405.00,123.00,48.00,252.00,0.00
2022-06-29 13:00:00,91.00,157.00,119.00,0.00,65.00,0.00,316.00,28.00,1403.00,128.00,49.00,220.00,0.00
2022-06-29 14:00:00,86.00,156.00,121.00,0.00,65.00,0.00,309.00,30.00,1401.00,127.00,46.00,169.00,0.00
2022-06-29 15:00:00,84.00,156.00,116.00,0.00,63.00,0.00,372.00,33.00,1400.00,125.00,47.00,111.00,0.00
